time,지역,가게이름,아이디,주문내용,댓글,맛,양,배달,사진주소,sajang,ko_text,token_review,tagging,Noun,Adverb,Number,Verb,Adjective
2021년 11월 02일,권선동,BBQ-수원매산세류점,go**님,황금올리브치킨/1,생각보다 맛있어서 좋아요 잘 먹었습니다,5,5,5,이미지는 없어요,중에 매산세류점이 제일 맛있다는 칭찬 너무 너무 감사드립니다저희 지점에 전 제품개발및 관리 팀장님께서 관리하고 계시거든요전제품을 메뉴얼에 입각하여 정성스럽게 조리되고 관리되고 있습니다고객님이 하면 저희 매산세류점이 떠오를수 있도록늘 제대로된 맛있는 치킨을 전송해드리겠습니다언제든지 필요한 사항있으면 요청해주시면 성심성의껏경청하고 꼭 조치해드리겠습니다ㅎㅎ그리고 고객님의 의견을 항상 소중하게 새기고 손익보단고객만족을 더 중요하게 생각하겠습니다항상 건강하시고 오늘도 즐거운 날 되세요,생각보다 맛있어서 좋아요 잘 먹었습니다,"['생각', '보다', '맛있어서', '좋아요', '잘', '먹었습니다']","[('생각', 'Noun'), ('보다', 'Josa'), ('맛있어서', 'Adjective'), ('좋아요', 'Adjective'), ('잘', 'Verb'), ('먹었습니다', 'Verb')]",['생각'],,,",잘,먹었습니다",",맛있어서,좋아요"
2021년 11월 01일,권선동,BBQ-수원매산세류점,di**님,황금올리브치킨순살/1,치킨도 맛있고 사장님도 친절합니다,5,5,5,https://rev-static.yogiyo.co.kr/af7bba479d72a5837694cf6841e9cead_tn.jpg,님 저희 매산세류점 고객님의 리뷰 칭찬은 너무 행복한 에너지 입니다  연락까지 주시고 너무 감사 드립니다늘 진심으로 감사하다는 말 전해드립니다맛있게 드셔주셔서 저희도 넘 행복합니다 특히 양념치킨 클로즈업 사진도예술입니다ㅎㅎ앞으로도 더 맛있고 더 좋은 서비스로 고객님 치킨을책임지겠습니다늘 기분좋은일이 고객님과 함께 하시길 바랍니다또 뵙겠습니다고객님매산세류점 점주 올림,치킨도 맛있고 사장님도 친절합니다,"['치킨', '도', '맛있고', '사장', '님', '도', '친절합니다']","[('치킨', 'Noun'), ('도', 'Josa'), ('맛있고', 'Adjective'), ('사장', 'Noun'), ('님', 'Suffix'), ('도', 'Josa'), ('친절합니다', 'Adjective')]","['치킨', '사장']",,,,",맛있고,친절합니다"
2021년 11월 01일,권선동,BBQ-수원매산세류점,lo**님,황금올리브（반반）/1,비비큐 체인점. 중. 최고의 맛입니다.,5,5,4,https://rev-static.yogiyo.co.kr/801c9ee87ea29f8bc68f8b0aa47210bc_tn.jpg,님 중에 매산세류점 치킨을 맛있게 드셨다는 칭찬 너무 너무 감사드립니다저희 지점에 전 제품개발및 관리 팀장님께서 관리하고 계시거든요전제품을 메뉴얼에 입각하여 정성스럽게 조리되고 관리되고 있습니다언제든지 필요한 사항있으면 요청해주시면 성심성의껏경청하고 꼭 조치해드리겠습니다ㅎㅎ저희의 기쁨입니다오늘도 행복하고 즐거운 날 되세요매산세류점 점주올림,비비큐 체인점 중 최고의 맛입니다,"['비비큐', '체인점', '중', '최고', '의', '맛', '입니다']","[('비비큐', 'Noun'), ('체인점', 'Noun'), ('중', 'Noun'), ('최고', 'Noun'), ('의', 'Josa'), ('맛', 'Noun'), ('입니다', 'Adjective')]","['비비큐', '체인점', '중', '최고', '맛']",,,,",입니다"
2021년 11월 01일,권선동,BBQ-수원매산세류점,nh**님,황금올리브치킨/1,항상 먹지만 맛있어요,5,5,5,https://rev-static.yogiyo.co.kr/8e54ac4fa4ea49d672717d1053a7c752_tn.jpg,님 매산세류점 찐찐 고객님저희 매산세류점을 이용해주시고 이렇게 예술적인 사진까지 올려주시고 넘 감사드립니다진심으로 감사하다고 전해드립니다항상 고객님의 치킨은 저희 매산세류점이 책임지고 최고의 품질로만전송해드리기위해 최선의 노력을 다하겠습니다고객님들이 사랑으로요더 발전하는 매산세류점이 되겠습니다오늘도 즐거운 날되시고요 항상 건강유의하세요매산세류점 점주 올림,항상 먹지만 맛있어요,"['항상', '먹지만', '맛있어요']","[('항상', 'Noun'), ('먹지만', 'Verb'), ('맛있어요', 'Adjective')]",['항상'],,,",먹지만",",맛있어요"
2021년 11월 01일,권선동,BBQ-수원매산세류점,mi**님,황금올리브치킨/1,맛있게 잘먹을게요~~ㅎㅎ,5,5,5,https://rev-static.yogiyo.co.kr/42bba735b744ad604264d872bbfe4c0f_tn.jpg,님 저희 치킨을 이용해주셔서 너무너무 감사드립니다소중한 시간 내주셔서 최고의 별점으로 응원해주셔서 너무 너무 감동입니다앞으로도 고객님이 맛있는 치킨이 생각나실때 믿고 찾으실수 있도록정말 최선을 다해 노력하겠습니다다음주문시 아이디와 리뷰이벤트 선물선택해서  적어주시면 이벤트 선물 같이보내드릴께요항상 건강유의 하시고 오늘도 즐거운 하루 보내세요매산세류점 점주 올림,맛있게 잘먹을게요ㅎㅎ,"['맛있게', '잘', '먹을게요', 'ㅎㅎ']","[('맛있게', 'Adjective'), ('잘', 'VerbPrefix'), ('먹을게요', 'Verb'), ('ㅎㅎ', 'KoreanParticle')]",[],,,",먹을게요",",맛있게"
2021년 10월 30일,권선동,BBQ-수원매산세류점,ki**님,"황올한 깐풍순살 반마리/1,포테이토치즈그라탕/1,케이준감자/1",잘먹었습니다.,5,5,5,https://rev-static.yogiyo.co.kr/374ae4ae2d1d123003e74fe338681ea0_tn.jpg,님 중에 매산세류점 치킨을 맛있게 드셨다는 칭찬 너무 너무 감사드립니다저희 지점에 전 제품개발및 관리 팀장님께서 관리하고 계시거든요전제품을 메뉴얼에 입각하여 정성스럽게 조리되고 관리되고 있습니다언제든지 필요한 사항있으면 요청해주시면 성심성의껏경청하고 꼭 조치해드리겠습니다ㅎㅎ저희의 기쁨입니다오늘도 행복하고 즐거운 날 되세요매산세류점 점주올림,잘먹었습니다,"['잘', '먹었습니다']","[('잘', 'VerbPrefix'), ('먹었습니다', 'Verb')]",[],,,",먹었습니다",
2021년 10월 30일,권선동,BBQ-수원매산세류점,rn**님,핫 황금올리브 콤보반반（블랙페퍼＋찐킹소스）/1,맛있게 잘 먹었습니다.,5,5,5,https://rev-static.yogiyo.co.kr/c1b202f4f9c78290c8266119d89ce930_tn.jpg,님 저희 치킨의 맛있는 황올을 주문해주시고 소중한 시간내주셔서 리뷰와 아름다운 사진 그리고 최고의 별점으로 응원해주셔서 너무 감동입니다맛있었다는 리뷰 너무 힘이 납니다감사합니다앞으로도 고객님이 맛있는 치킨이 생각날때 항상 곁에 있겠습니다정말 맛있는 치킨만 보내드릴께요ㅎㅎ항상 건강유의하시고요 즐거운 날 되세요매산세류점 점주 올림,맛있게 잘 먹었습니다,"['맛있게', '잘', '먹었습니다']","[('맛있게', 'Adjective'), ('잘', 'Verb'), ('먹었습니다', 'Verb')]",[],,,",잘,먹었습니다",",맛있게"
2021년 10월 30일,권선동,BBQ-수원매산세류점,so**님,자메이카 통다리구이/1,역시 너무 맛있게 먹었습니다,5,5,5,https://rev-static.yogiyo.co.kr/3853aca80956edab490227e5721118ee_tn.jpg,님 저희 치킨을 이용해주셔서 너무너무 감사드립니다소중한 시간 내주셔서 최고의 별점으로 응원해주셔서 너무 너무 감동입니다앞으로도 고객님이 맛있는 치킨이 생각나실때 믿고 찾으실수 있도록정말 최선을 다해 노력하겠습니다다음주문시 아이디와 리뷰이벤트 선물선택해서  적어주시면 이벤트 선물 같이보내드릴께요항상 건강유의 하시고 오늘도 즐거운 하루 보내세요매산세류점 점주 올림,역시 너무 맛있게 먹었습니다,"['역시', '너무', '맛있게', '먹었습니다']","[('역시', 'Noun'), ('너무', 'Adverb'), ('맛있게', 'Adjective'), ('먹었습니다', 'Verb')]",['역시'],",너무",,",먹었습니다",",맛있게"
2021년 10월 29일,권선동,BBQ-수원매산세류점,t9**님,황금올리브닭다리/1(추가메뉴(비비소스추가)),배달 문자 달라고 했는데ㅠㅠ 문앞에만 두고 가셔서 조금 식었지만 맛있어요!!,5,5,2,https://rev-static.yogiyo.co.kr/d3c0dae60ce9633948a3d98be64d6800_tn.jpg,단골 님 매산세류점 단골고객님의 리뷰는 언제나 기분이 좋습니다저희 치킨 맛있게 드셨다니 넘 행복합니다만 문자를 드리지 못해 너무 송구 합니다 배달대행업체에 다시 잘 이야기 전달하도록 하겠습니다그리고 매산세류점 늘 맛있다는 칭찬에 기분업입니다더욱더 책임감을 가지고 초심을 잃지 않고 더욱더 노력 하겠습니다항상 좋은 고객님들과 나누고 소통하고 고객님들만 생각하면서 일하겠습니다언제나 치킨이 생각날때 찾아주세요맛있는 치킨으로 보답드리겠습니다오늘도 즐거운 날 되세요 꾸뻑,배달 문자 달라고 했는데ㅠㅠ 문앞에만 두고 가셔서 조금 식었지만 맛있어요,"['배달', '문자', '달라', '고', '했는데', 'ㅠㅠ', '문', '앞', '에만', '두고', '가셔서', '조금', '식었지만', '맛있어요']","[('배달', 'Noun'), ('문자', 'Noun'), ('달라', 'Noun'), ('고', 'Josa'), ('했는데', 'Verb'), ('ㅠㅠ', 'KoreanParticle'), ('문', 'Modifier'), ('앞', 'Noun'), ('에만', 'Josa'), ('두고', 'Verb'), ('가셔서', 'Verb'), ('조금', 'Noun'), ('식었지만', 'Verb'), ('맛있어요', 'Adjective')]","['배달', '문자', '달라', '앞', '조금']",,,",했는데,두고,가셔서,식었지만",",맛있어요"
2021년 10월 27일,권선동,BBQ-수원매산세류점,op**님,황금올리브속안심/1,속안심~ 기름기 쪽빼서 담백하고 콜라도 잘 마셨어요~ 배달도 시간보다 빨리 오셨어요~,5,5,5,https://rev-static.yogiyo.co.kr/19e413f6715c500afb65e1f5a0f2727e_tn.jpg,저희 제품을 이용해주시고 최고의 별점과 멋진리뷰 정말정말 감사드립니다늦지않게 따뜻하게 제품이 도착한것 같아 다행입니다저희 매산세류점은 품질을 최우선으로 생각하고 업무 하고 있습니다 본사 상품담당 총괄 이사님으로 근무하시던 분이 매장에서 직접 조리하고계시기 때문에 품질은 타점포대비 월등하다고 자부 합니다앞으로도 더 잘하는  매산세류점이 되도록 하겠으며 다음번 주문 시 아이디외 리뷰이벤트라고 적어 주시면 서비스 보내드리겠습니다항상 건강하시고 늘 기분좋은 일만 함께 하시길 바랍니다,속안심 기름기 쪽빼서 담백하고 콜라도 잘 마셨어요 배달도 시간보다 빨리 오셨어요,"['속', '안심', '기름기', '쪽', '빼서', '담백하고', '콜라', '도', '잘', '마셨어요', '배달', '도', '시간', '보다', '빨리', '오셨어요']","[('속', 'Modifier'), ('안심', 'Noun'), ('기름기', 'Noun'), ('쪽', 'Noun'), ('빼서', 'Verb'), ('담백하고', 'Adjective'), ('콜라', 'Noun'), ('도', 'Josa'), ('잘', 'Verb'), ('마셨어요', 'Verb'), ('배달', 'Noun'), ('도', 'Josa'), ('시간', 'Noun'), ('보다', 'Josa'), ('빨리', 'Adverb'), ('오셨어요', 'Verb')]","['안심', '기름기', '쪽', '콜라', '배달', '시간']",",빨리",,",빼서,잘,마셨어요,오셨어요",",담백하고"
