time,지역,가게이름,아이디,주문내용,댓글,맛,양,배달,사진주소,sajang,ko_text,token_review,tagging,Noun,Adverb,Number,Verb,Adjective
2021년 11월 27일,정왕동,처갓집양념치킨-시화2점,eh**님,"부위별 치킨（치킨 및 부위 선택）/1(부위별치킨(다리),치킨선택1(후라이드치킨),옵션(콜라 1.25L 변경))",맛잏게 먹었어용 ^^,5,5,5,https://github.com/kuick1kim/01colap/raw/main/csv/no-image-found-360x250-1.png,사장님 답글이 없어요 ,맛잏게 먹었어용 ,"['맛잏', '게', '먹었어용']","[('맛잏', 'Noun'), ('게', 'Josa'), ('먹었어용', 'Verb')]",['맛잏'],,,",먹었어용",
2021년 11월 26일,정왕동,처갓집양념치킨-시화2점,yo**님,"반반치킨（반반 두 종류 선택）/1(반반선택(허니올리고당야채양념치킨,후라이드치킨))",처갓집만의 부드러운 양념이 넘 좋아요조리15분만에 출발해서 배달시간이 더 걸리네요따끈따끈 넘 맛납니다배달비 올라도 시킬수밖에 없어요,5,5,5,https://rev-static.yogiyo.co.kr/e30f5b6d0d3d7fbf11dfea2150931309_tn.jpg,사장님 답글이 없어요 ,처갓집만의 부드러운 양념이 넘 좋아요조리분만에 출발해서 배달시간이 더 걸리네요따끈따끈 넘 맛납니다배달비 올라도 시킬수밖에 없어요,"['처갓집', '만의', '부드러운', '양념', '이', '넘', '좋아요', '조리', '분', '만에', '출발', '해서', '배달', '시간', '이', '더', '걸리네요', '따끈따끈', '넘', '맛', '납니다', '배달', '비', '올라도', '시킬수밖에', '없어요']","[('처갓집', 'Noun'), ('만의', 'Josa'), ('부드러운', 'Adjective'), ('양념', 'Noun'), ('이', 'Josa'), ('넘', 'Verb'), ('좋아요', 'Adjective'), ('조리', 'Noun'), ('분', 'Suffix'), ('만에', 'Josa'), ('출발', 'Noun'), ('해서', 'Verb'), ('배달', 'Noun'), ('시간', 'Noun'), ('이', 'Josa'), ('더', 'Noun'), ('걸리네요', 'Verb'), ('따끈따끈', 'Noun'), ('넘', 'Verb'), ('맛', 'Noun'), ('납니다', 'Verb'), ('배달', 'Noun'), ('비', 'Noun'), ('올라도', 'Verb'), ('시킬수밖에', 'Verb'), ('없어요', 'Adjective')]","['처갓집', '양념', '조리', '출발', '배달', '시간', '더', '따끈따끈', '맛', '배달', '비']",,,",넘,해서,걸리네요,넘,납니다,올라도,시킬수밖에",",부드러운,좋아요,없어요"
2021년 11월 23일,정왕동,처갓집양념치킨-시화2점,a3**님,순살 슈프림골드양념치킨/1,살짝 느끼하지만 좋았습니당,5,4,4,https://rev-static.yogiyo.co.kr/eb30db6c1e9f2f14b888613f896b5f6b_tn.jpg,사장님 답글이 없어요 ,살짝 느끼하지만 좋았습니당,"['살짝', '느끼하지만', '좋았', '습', '니당']","[('살짝', 'Noun'), ('느끼하지만', 'Adjective'), ('좋았', 'Adjective'), ('습', 'Noun'), ('니당', 'Verb')]","['살짝', '습']",,,",니당",",느끼하지만,좋았"
2021년 11월 23일,정왕동,처갓집양념치킨-시화2점,sw**님,"순살반반（순살반반 두 종류 선택）/1(반반선택(순살 허니올리고당야채양념치킨,순살 후라이드치킨))",맛있게 잘 먹었어요~,5,5,0,https://rev-static.yogiyo.co.kr/e9bf7eb1461070b1953036191d3a967d_tn.jpg,사장님 답글이 없어요 ,맛있게 잘 먹었어요,"['맛있게', '잘', '먹었어요']","[('맛있게', 'Adjective'), ('잘', 'Verb'), ('먹었어요', 'Verb')]",[],,,",잘,먹었어요",",맛있게"
2021년 11월 23일,정왕동,처갓집양념치킨-시화2점,ni**님,"반반치킨（반반 두 종류 선택）/1(반반선택(허니올리고당야채양념치킨,후라이드치킨))",맛있어요 또 주문할게요,5,5,5,https://rev-static.yogiyo.co.kr/6dfd723fc61477fc7c8dea652394208d_tn.jpg,사장님 답글이 없어요 ,맛있어요 또 주문할게요,"['맛있어요', '또', '주문', '할게요']","[('맛있어요', 'Adjective'), ('또', 'Noun'), ('주문', 'Noun'), ('할게요', 'Verb')]","['또', '주문']",,,",할게요",",맛있어요"
2021년 11월 22일,정왕동,처갓집양념치킨-시화2점,   손님,"후라이드치킨/1,허니올리고당야채양념치킨/1",맛나고 양많고 좋았어요,5,5,5,https://github.com/kuick1kim/01colap/raw/main/csv/no-image-found-360x250-1.png,사장님 답글이 없어요 ,맛나고 양많고 좋았어요,"['맛', '나고', '양', '많고', '좋았어요']","[('맛', 'Noun'), ('나고', 'Verb'), ('양', 'Noun'), ('많고', 'Adjective'), ('좋았어요', 'Adjective')]","['맛', '양']",,,",나고",",많고,좋았어요"
2021년 11월 22일,정왕동,처갓집양념치킨-시화2점,gj**님,순살 슈프림양념치킨/1,잘 먹었습니다~ 다음에도 부탁드릴게요,5,5,5,https://github.com/kuick1kim/01colap/raw/main/csv/no-image-found-360x250-1.png,사장님 답글이 없어요 ,잘 먹었습니다 다음에도 부탁드릴게요,"['잘', '먹었습니다', '다음', '에도', '부탁드릴게요']","[('잘', 'Verb'), ('먹었습니다', 'Verb'), ('다음', 'Noun'), ('에도', 'Josa'), ('부탁드릴게요', 'Adjective')]",['다음'],,,",잘,먹었습니다",",부탁드릴게요"
2021년 11월 21일,정왕동,처갓집양념치킨-시화2점,do**님,슈프림양념치킨/1(옵션(콜라 1.25L 변경)),good good 맛있습니다,5,5,5,https://github.com/kuick1kim/01colap/raw/main/csv/no-image-found-360x250-1.png,사장님 답글이 없어요 ,  맛있습니다,['맛있습니다'],"[('맛있습니다', 'Adjective')]",[],,,,",맛있습니다"
2021년 11월 21일,정왕동,처갓집양념치킨-시화2점,jj**님,"순살두마리세트（치킨 두 종류 선택）/1(치킨선택1(순살 후라이드치킨),치킨선택2(순살 허니올리고당야채양념치킨))",맨날 배달만 시키다 포장해서 먹었는데 가게내부가 엄청 깔끔해요ㅋㅋ 사장님 내외분이 엄청 신경쓰시는거 같아요.잘먹었습니다^^,5,5,0,https://rev-static.yogiyo.co.kr/137f2cbaf58d02191a75514e7cdc8917_tn.jpg,사장님 답글이 없어요 ,맨날 배달만 시키다 포장해서 먹었는데 가게내부가 엄청 깔끔해요ㅋㅋ 사장님 내외분이 엄청 신경쓰시는거 같아요잘먹었습니다,"['맨날', '배달', '만', '시키다', '포장', '해서', '먹었는데', '가게', '내', '부가', '엄청', '깔끔해요', 'ㅋㅋ', '사장', '님', '내외', '분', '이', '엄청', '신경', '쓰시는거', '같아요', '잘', '먹었습니다']","[('맨날', 'Adverb'), ('배달', 'Noun'), ('만', 'Josa'), ('시키다', 'Verb'), ('포장', 'Noun'), ('해서', 'Verb'), ('먹었는데', 'Verb'), ('가게', 'Noun'), ('내', 'Determiner'), ('부가', 'Noun'), ('엄청', 'Adverb'), ('깔끔해요', 'Adjective'), ('ㅋㅋ', 'KoreanParticle'), ('사장', 'Noun'), ('님', 'Suffix'), ('내외', 'Noun'), ('분', 'Suffix'), ('이', 'Josa'), ('엄청', 'Adverb'), ('신경', 'Noun'), ('쓰시는거', 'Verb'), ('같아요', 'Adjective'), ('잘', 'Verb'), ('먹었습니다', 'Verb')]","['배달', '포장', '가게', '부가', '사장', '내외', '신경']",",맨날,엄청,엄청",,",시키다,해서,먹었는데,쓰시는거,잘,먹었습니다",",깔끔해요,같아요"
2021년 11월 20일,정왕동,처갓집양념치킨-시화2점,zz**님,순살 슈프림양념치킨/1(옵션(콜라 1.25L 변경)),슈프림순살 너무 맛있어용,5,5,5,https://rev-static.yogiyo.co.kr/1d49f6ce7d70546b6ae9732ba6e6c091_tn.jpg,사장님 답글이 없어요 ,슈프림순살 너무 맛있어용,"['슈프림', '순', '살', '너무', '맛있어용']","[('슈프림', 'Noun'), ('순', 'Modifier'), ('살', 'Noun'), ('너무', 'Adverb'), ('맛있어용', 'Adjective')]","['슈프림', '살']",",너무",,,",맛있어용"
