time,지역,가게이름,아이디,주문내용,댓글,맛,양,배달,사진주소,sajang,ko_text,token_review,tagging,Noun,Adverb,Number,Verb,Adjective
2021년 11월 02일,서초동,컬투치킨-서초1호점,ba**님,"감자바사삭치킨＋케이준감자/1(맛 선택(매콤（매후라）),부위변경(뼈))",맛있었어요 또 주문할게요!!!,5,5,5,이미지는 없어요,사장님 답글이 없어요 ,맛있었어요 또 주문할게요,"['맛있었어요', '또', '주문', '할게요']","[('맛있었어요', 'Adjective'), ('또', 'Noun'), ('주문', 'Noun'), ('할게요', 'Verb')]","['또', '주문']",,,",할게요",",맛있었어요"
2021년 11월 02일,서초동,컬투치킨-서초1호점,hy**님,매후라치킨/1(치킨 종류 추가 선택(변경 안함)),맛있엉ㅅㄹ~!~!~!~!,5,5,5,이미지는 없어요,사장님 답글이 없어요 ,맛있엉ㅅㄹ,"['맛있', '엉', 'ㅅㄹ']","[('맛있', 'Adjective'), ('엉', 'Exclamation'), ('ㅅㄹ', 'KoreanParticle')]",[],,,,",맛있"
2021년 11월 02일,서초동,컬투치킨-서초1호점,lk**님,"화끈화닭치킨/1(치킨 종류 추가 선택(순살 변경),음료 추가 선택(음료 사이즈업（1.25 변경）)),새우튀김/1",스트레스 풀려고 주문했어요~~화끈하고 넘 맛있네요 ~~치즈볼도 달콤쫀득~~새우튀김 맛도.좋구요~~,5,5,5,https://rev-static.yogiyo.co.kr/406ad409c0f68bed9133b70c39685a3a_tn.jpg,사장님 답글이 없어요 ,스트레스 풀려고 주문했어요화끈하고 넘 맛있네요 치즈볼도 달콤쫀득새우튀김 맛도좋구요,"['스트레스', '풀려고', '주문', '했어요', '화끈하고', '넘', '맛있네요', '치즈볼', '도', '달콤쫀득', '새우', '튀김', '맛', '도', '좋구요']","[('스트레스', 'Noun'), ('풀려고', 'Verb'), ('주문', 'Noun'), ('했어요', 'Verb'), ('화끈하고', 'Adjective'), ('넘', 'Verb'), ('맛있네요', 'Adjective'), ('치즈볼', 'Noun'), ('도', 'Josa'), ('달콤쫀득', 'Noun'), ('새우', 'Noun'), ('튀김', 'Noun'), ('맛', 'Noun'), ('도', 'Josa'), ('좋구요', 'Adjective')]","['스트레스', '주문', '치즈볼', '달콤쫀득', '새우', '튀김', '맛']",,,",풀려고,했어요,넘",",화끈하고,맛있네요,좋구요"
2021년 11월 02일,서초동,컬투치킨-서초1호점,ar**님,매후라치킨/1(치킨 종류 추가 선택(변경 안함)),치킨이 따뜻하다못해 뜨거웠네요 아주 맛있게  잘먹었습니다,5,5,5,https://rev-static.yogiyo.co.kr/1ba49e2b17cb903a10e878f7386cf1d0_tn.jpg,사장님 답글이 없어요 ,치킨이 따뜻하다못해 뜨거웠네요 아주 맛있게  잘먹었습니다,"['치킨', '이', '따뜻하다못해', '뜨거웠네요', '아주', '맛있게', '잘', '먹었습니다']","[('치킨', 'Noun'), ('이', 'Josa'), ('따뜻하다못해', 'Adjective'), ('뜨거웠네요', 'Adjective'), ('아주', 'Noun'), ('맛있게', 'Adjective'), ('잘', 'VerbPrefix'), ('먹었습니다', 'Verb')]","['치킨', '아주']",,,",먹었습니다",",따뜻하다못해,뜨거웠네요,맛있게"
2021년 11월 02일,서초동,컬투치킨-서초1호점,id**님,마후라반반치킨/1(치킨 종류 추가 선택(변경 안함)),맛있게 잘 먹었습니다. 리뷰이벤트 감튀는 좀 더 좋은거 쓰셔도 좋을 것 같아요.,4,5,5,https://rev-static.yogiyo.co.kr/f7ac300be12ebffad89f2aabfa80b2e0_tn.jpg,사장님 답글이 없어요 ,맛있게 잘 먹었습니다 리뷰이벤트 감튀는 좀 더 좋은거 쓰셔도 좋을 것 같아요,"['맛있게', '잘', '먹었습니다', '리뷰', '이벤트', '감', '튀는', '좀', '더', '좋은', '거', '쓰셔도', '좋을', '것', '같아요']","[('맛있게', 'Adjective'), ('잘', 'Verb'), ('먹었습니다', 'Verb'), ('리뷰', 'Noun'), ('이벤트', 'Noun'), ('감', 'Noun'), ('튀는', 'Verb'), ('좀', 'Noun'), ('더', 'Noun'), ('좋은', 'Adjective'), ('거', 'Noun'), ('쓰셔도', 'Verb'), ('좋을', 'Adjective'), ('것', 'Noun'), ('같아요', 'Adjective')]","['리뷰', '이벤트', '감', '좀', '더', '거', '것']",,,",잘,먹었습니다,튀는,쓰셔도",",맛있게,좋은,좋을,같아요"
2021년 11월 02일,서초동,컬투치킨-서초1호점,cj**님,마후라치킨/1(치킨 종류 추가 선택(변경 안함)),행사라 싸게먹었네여,4,4,4,https://rev-static.yogiyo.co.kr/02305ff969175153ad258b1d17dca568_tn.jpg,사장님 답글이 없어요 ,행사라 싸게먹었네여,"['행사', '라', '싸게', '먹었네', '여']","[('행사', 'Noun'), ('라', 'Josa'), ('싸게', 'Verb'), ('먹었네', 'Verb'), ('여', 'Noun')]","['행사', '여']",,,",싸게,먹었네",
2021년 11월 02일,서초동,컬투치킨-서초1호점,th**님,매후라치킨/1(치킨 종류 추가 선택(변경 안함)),컬투치킨 처음 먹어보는데 맛있네용~~~~다음에 또 시켜먹을게요!!!,5,5,5,https://rev-static.yogiyo.co.kr/b12f1bfc4d0d20e764447a130130d503_tn.jpg,사장님 답글이 없어요 ,컬투치킨 처음 먹어보는데 맛있네용다음에 또 시켜먹을게요,"['컬투', '치킨', '처음', '먹어', '보는데', '맛있네용', '다음', '에', '또', '시켜', '먹을게요']","[('컬투', 'Noun'), ('치킨', 'Noun'), ('처음', 'Noun'), ('먹어', 'Verb'), ('보는데', 'Verb'), ('맛있네용', 'Adjective'), ('다음', 'Noun'), ('에', 'Josa'), ('또', 'Noun'), ('시켜', 'Verb'), ('먹을게요', 'Verb')]","['컬투', '치킨', '처음', '다음', '또']",,,",먹어,보는데,시켜,먹을게요",",맛있네용"
2021년 11월 02일,서초동,컬투치킨-서초1호점,wo**님,"세트1（치킨 반＋탕수육 반）/1(치킨 종류 추가 선택(순살 변경),치킨 선택(어니언크림새우치킨),탕수육 선택(오리지널탕수육))",양도 적당하고 맛있었어요~!!,5,5,5,https://rev-static.yogiyo.co.kr/cc134ead87c7bafb12ceede7904829e4_tn.jpg,사장님 답글이 없어요 ,양도 적당하고 맛있었어요,"['양도', '적당하고', '맛있었어요']","[('양도', 'Noun'), ('적당하고', 'Adjective'), ('맛있었어요', 'Adjective')]",['양도'],,,,",적당하고,맛있었어요"
2021년 11월 02일,서초동,컬투치킨-서초1호점,sh**님,매후라치킨/1(치킨 종류 추가 선택(변경 안함)),맛있습니다 추천해요,5,5,5,https://rev-static.yogiyo.co.kr/259d25f73b7da65af5d401246acc734e_tn.jpg,사장님 답글이 없어요 ,맛있습니다 추천해요,"['맛있습니다', '추천', '해요']","[('맛있습니다', 'Adjective'), ('추천', 'Noun'), ('해요', 'Verb')]",['추천'],,,",해요",",맛있습니다"
2021년 11월 02일,서초동,컬투치킨-서초1호점,kw**님,매후라치킨/1(치킨 종류 추가 선택(순살 변경)),순살인데 뼈가 하나 있네요 ㅠ,5,5,5,https://rev-static.yogiyo.co.kr/1a909dd28255072db210ec6dbd08c6e1_tn.jpg,사장님 답글이 없어요 ,순살인데 뼈가 하나 있네요 ㅠ,"['순', '살', '인데', '뼈', '가', '하나', '있네요', 'ㅠ']","[('순', 'Modifier'), ('살', 'Noun'), ('인데', 'Josa'), ('뼈', 'Noun'), ('가', 'Josa'), ('하나', 'Noun'), ('있네요', 'Adjective'), ('ㅠ', 'KoreanParticle')]","['살', '뼈', '하나']",,,,",있네요"
