time,지역,가게이름,아이디,주문내용,댓글,맛,양,배달,사진주소,sajang,ko_text,token_review,tagging,Noun,Adverb,Number,Verb,Adjective
2021년 11월 03일,권선동,후라이드참잘하는집-권선세류점,ya**님,[신메뉴]킹트리플 양념치킨/1,맛있어요 ~~~~~,5,5,5,https://rev-static.yogiyo.co.kr/b52e2771c3138088361850695bda452f_tn.jpg,사장님 답글이 없어요 ,맛있어요 ,['맛있어요'],"[('맛있어요', 'Adjective')]",[],,,,",맛있어요"
2021년 11월 03일,권선동,후라이드참잘하는집-권선세류점,sk**님,"반반치킨（후라이드반＋양념반）/1(뼈or순살 선택(뼈),음료 추가선택(콜라1.25L로 변경)),[new] 소떡소떡 달콤맛/1,한입붕어빵 슈크림맛 6개/1",치킨이 너무 커요 킹치만 맛있어요😁,5,5,5,https://rev-static.yogiyo.co.kr/6c8e3d63bd5e8bbc80881db7f7c71695_tn.jpg,사장님 답글이 없어요 ,치킨이 너무 커요 킹치만 맛있어요,"['치킨', '이', '너무', '커요', '킹치', '만', '맛있어요']","[('치킨', 'Noun'), ('이', 'Josa'), ('너무', 'Adverb'), ('커요', 'Verb'), ('킹치', 'Noun'), ('만', 'Josa'), ('맛있어요', 'Adjective')]","['치킨', '킹치']",",너무",,",커요",",맛있어요"
2021년 11월 03일,권선동,후라이드참잘하는집-권선세류점,pr**님,반반치킨（후라이드반＋매운양념반）/1(뼈or순살 선택(뼈)),맛좋고 양많고 가격좋고~~ 안먹을 이유가 없어여 ㅎㅎ,5,5,5,https://rev-static.yogiyo.co.kr/0530016a851a298cc2a26ce226f4c75c_tn.jpg,사장님 답글이 없어요 ,맛좋고 양많고 가격좋고 안먹을 이유가 없어여 ㅎㅎ,"['맛', '좋고', '양', '많고', '가격', '좋고', '안', '먹을', '이유', '가', '없어여', 'ㅎㅎ']","[('맛', 'Noun'), ('좋고', 'Adjective'), ('양', 'Noun'), ('많고', 'Adjective'), ('가격', 'Noun'), ('좋고', 'Adjective'), ('안', 'VerbPrefix'), ('먹을', 'Verb'), ('이유', 'Noun'), ('가', 'Josa'), ('없어여', 'Adjective'), ('ㅎㅎ', 'KoreanParticle')]","['맛', '양', '가격', '이유']",,,",먹을",",좋고,많고,좋고,없어여"
2021년 11월 02일,권선동,후라이드참잘하는집-권선세류점,hi**님,"반반치킨（간장반＋핫간장반）/1(뼈or순살 선택(뼈),음료 추가선택(콜라1.25L로 변경))",후참잘은 간장이랑 핫간장도 맛잇네요 ㅎㅎ,5,5,5,https://rev-static.yogiyo.co.kr/57ab017911dfd3a7444278f09b64733e_tn.jpg,사장님 답글이 없어요 ,후참잘은 간장이랑 핫간장도 맛잇네요 ㅎㅎ,"['후', '참잘', '은', '간장', '이랑', '핫', '간장', '도', '맛', '잇네요', 'ㅎㅎ']","[('후', 'Noun'), ('참잘', 'Verb'), ('은', 'Noun'), ('간장', 'Noun'), ('이랑', 'Josa'), ('핫', 'Noun'), ('간장', 'Noun'), ('도', 'Josa'), ('맛', 'Noun'), ('잇네요', 'Verb'), ('ㅎㅎ', 'KoreanParticle')]","['후', '은', '간장', '핫', '간장', '맛']",,,",참잘,잇네요",
2021년 11월 02일,권선동,후라이드참잘하는집-권선세류점,ph**님,후라이드/1(추가 선택(매운양념소스)),진짜 너무너무 먹고싶어서 목 빠지게 기다렸는데 기다린만큼 진짜 너무 맛있어요 닉값하는거같고 후라이드 추천  치킨 먹으면서 계속 와 잘한다 와 맛있다.. 이러면서 먹었네요,5,4,4,https://github.com/kuick1kim/01colap/raw/main/csv/no-image-found-360x250-1.png,사장님 답글이 없어요 ,진짜 너무너무 먹고싶어서 목 빠지게 기다렸는데 기다린만큼 진짜 너무 맛있어요 닉값하는거같고 후라이드 추천  치킨 먹으면서 계속 와 잘한다 와 맛있다 이러면서 먹었네요,"['진짜', '너무', '너무', '먹고싶어서', '목', '빠지게', '기다렸는데', '기다린만큼', '진짜', '너무', '맛있어요', '닉값', '하는거', '같고', '후라이드', '추천', '치킨', '먹으면서', '계속', '와', '잘', '한다', '와', '맛있다', '이러면서', '먹었네요']","[('진짜', 'Noun'), ('너무', 'Adverb'), ('너무', 'Adverb'), ('먹고싶어서', 'Verb'), ('목', 'Noun'), ('빠지게', 'Verb'), ('기다렸는데', 'Verb'), ('기다린만큼', 'Verb'), ('진짜', 'Noun'), ('너무', 'Adverb'), ('맛있어요', 'Adjective'), ('닉값', 'Noun'), ('하는거', 'Verb'), ('같고', 'Adjective'), ('후라이드', 'Noun'), ('추천', 'Noun'), ('치킨', 'Noun'), ('먹으면서', 'Verb'), ('계속', 'Noun'), ('와', 'Verb'), ('잘', 'VerbPrefix'), ('한다', 'Verb'), ('와', 'Verb'), ('맛있다', 'Adjective'), ('이러면서', 'Verb'), ('먹었네요', 'Verb')]","['진짜', '목', '진짜', '닉값', '후라이드', '추천', '치킨', '계속']",",너무,너무,너무",,",먹고싶어서,빠지게,기다렸는데,기다린만큼,하는거,먹으면서,와,한다,와,이러면서,먹었네요",",맛있어요,같고,맛있다"
2021년 11월 02일,권선동,후라이드참잘하는집-권선세류점,lo**님,반반치킨（후라이드반＋핫간장반）/1(뼈or순살 선택(순살)),늘 최고예요 일주일에 두번씩 먹다가 와이프 때문에 한달에 한번씩 으로 줄였는데 너무 맛있어요 하,5,5,5,https://rev-static.yogiyo.co.kr/d6db887ba9b7c5fc17816f05893ff9b7_tn.jpg,사장님 답글이 없어요 ,늘 최고예요 일주일에 두번씩 먹다가 와이프 때문에 한달에 한번씩 으로 줄였는데 너무 맛있어요 하,"['늘', '최고', '예요', '일주일', '에', '두', '번', '씩', '먹다가', '와이프', '때문', '에', '한', '달', '에', '한번', '씩', '으로', '줄였는데', '너무', '맛있어요', '하']","[('늘', 'Noun'), ('최고', 'Noun'), ('예요', 'Josa'), ('일주일', 'Noun'), ('에', 'Josa'), ('두', 'Determiner'), ('번', 'Noun'), ('씩', 'Suffix'), ('먹다가', 'Verb'), ('와이프', 'Noun'), ('때문', 'Noun'), ('에', 'Josa'), ('한', 'Determiner'), ('달', 'Noun'), ('에', 'Josa'), ('한번', 'Noun'), ('씩', 'Suffix'), ('으로', 'Josa'), ('줄였는데', 'Verb'), ('너무', 'Adverb'), ('맛있어요', 'Adjective'), ('하', 'Exclamation')]","['늘', '최고', '일주일', '번', '와이프', '때문', '달', '한번']",",너무",,",먹다가,줄였는데",",맛있어요"
2021년 11월 02일,권선동,후라이드참잘하는집-권선세류점,gk**님,"반반치킨（후라이드반＋매운양념반）/1(뼈or순살 선택(순살)),허니버터감자/1",맛있어요맛있어요!!!!,5,5,5,https://github.com/kuick1kim/01colap/raw/main/csv/no-image-found-360x250-1.png,사장님 답글이 없어요 ,맛있어요맛있어요,"['맛있어요', '맛있어요']","[('맛있어요', 'Adjective'), ('맛있어요', 'Adjective')]",[],,,,",맛있어요,맛있어요"
2021년 11월 02일,권선동,후라이드참잘하는집-권선세류점,pa**님,후라이드/1,"역시 후참입니다.배달도 예정시간보더 빨리오고 맛은 말할필요가 없어요, 맛있습니다, 이름값합니다. 한마리만 시켰는데 요즘 시대에 500미리 콜라를 주시다니...게다가 얼음컵도 주십니다. 최고입니다.",5,5,5,https://rev-static.yogiyo.co.kr/b6061b249ec22e67cf0bf2787b080398_tn.jpg,사장님 답글이 없어요 ,역시 후참입니다배달도 예정시간보더 빨리오고 맛은 말할필요가 없어요 맛있습니다 이름값합니다 한마리만 시켰는데 요즘 시대에 미리 콜라를 주시다니게다가 얼음컵도 주십니다 최고입니다,"['역시', '후', '참', '입니다', '배달', '도', '예정', '시간', '보더', '빨리', '오고', '맛', '은', '말', '할', '필요', '가', '없어요', '맛있습니다', '이름', '값', '합니다', '한', '마리', '만', '시켰는데', '요즘', '시대', '에', '미리', '콜라', '를', '주시다니', '게다가', '얼음', '컵', '도', '주십니다', '최고', '입니다']","[('역시', 'Noun'), ('후', 'Noun'), ('참', 'Verb'), ('입니다', 'Adjective'), ('배달', 'Noun'), ('도', 'Josa'), ('예정', 'Noun'), ('시간', 'Noun'), ('보더', 'Noun'), ('빨리', 'Adverb'), ('오고', 'Verb'), ('맛', 'Noun'), ('은', 'Josa'), ('말', 'Noun'), ('할', 'Verb'), ('필요', 'Noun'), ('가', 'Josa'), ('없어요', 'Adjective'), ('맛있습니다', 'Adjective'), ('이름', 'Noun'), ('값', 'Noun'), ('합니다', 'Verb'), ('한', 'Determiner'), ('마리', 'Noun'), ('만', 'Josa'), ('시켰는데', 'Verb'), ('요즘', 'Noun'), ('시대', 'Noun'), ('에', 'Josa'), ('미리', 'Noun'), ('콜라', 'Noun'), ('를', 'Josa'), ('주시다니', 'Verb'), ('게다가', 'Noun'), ('얼음', 'Noun'), ('컵', 'Noun'), ('도', 'Josa'), ('주십니다', 'Verb'), ('최고', 'Noun'), ('입니다', 'Adjective')]","['역시', '후', '배달', '예정', '시간', '보더', '맛', '말', '필요', '이름', '값', '마리', '요즘', '시대', '미리', '콜라', '게다가', '얼음', '컵', '최고']",",빨리",,",참,오고,할,합니다,시켰는데,주시다니,주십니다",",입니다,없어요,맛있습니다,입니다"
2021년 11월 02일,권선동,후라이드참잘하는집-권선세류점,co**님,순살 핫토스치킨/1,순살인데도 퍽퍽하지 않고 겉바속촉 맛나용✨,5,5,5,https://rev-static.yogiyo.co.kr/d4ba3e3dd79c96f9f76d4e8136d1d1ca_tn.jpg,사장님 답글이 없어요 ,순살인데도 퍽퍽하지 않고 겉바속촉 맛나용,"['순', '살인', '데', '도', '퍽퍽', '하', '지', '않고', '겉바', '속', '촉', '맛', '나용']","[('순', 'Modifier'), ('살인', 'Noun'), ('데', 'Noun'), ('도', 'Josa'), ('퍽퍽', 'Noun'), ('하', 'Suffix'), ('지', 'Josa'), ('않고', 'Verb'), ('겉바', 'Noun'), ('속', 'Modifier'), ('촉', 'Noun'), ('맛', 'Noun'), ('나용', 'Noun')]","['살인', '데', '퍽퍽', '겉바', '촉', '맛', '나용']",,,",않고",
2021년 11월 02일,권선동,후라이드참잘하는집-권선세류점,gy**님,"반반치킨（후라이드반＋양념반）/1(뼈or순살 선택(뼈),음료 추가선택(콜라1.25L로 변경))",치킨은 역시 후참!!! 너무 너무 맛있어요. 번창하세요 :),5,5,5,https://rev-static.yogiyo.co.kr/91db94ca078daf570f3dd0b8c89fabad_tn.jpg,사장님 답글이 없어요 ,치킨은 역시 후참 너무 너무 맛있어요 번창하세요 ,"['치킨', '은', '역시', '후', '참', '너무', '너무', '맛있어요', '번창', '하세요']","[('치킨', 'Noun'), ('은', 'Josa'), ('역시', 'Noun'), ('후', 'Noun'), ('참', 'Verb'), ('너무', 'Adverb'), ('너무', 'Adverb'), ('맛있어요', 'Adjective'), ('번창', 'Noun'), ('하세요', 'Verb')]","['치킨', '역시', '후', '번창']",",너무,너무",,",참,하세요",",맛있어요"
2021년 11월 02일,권선동,후라이드참잘하는집-권선세류점,we**님,반반치킨（후라이드반＋양념반）/1(뼈or순살 선택(뼈)),넘 맛있어요~~~~~,5,5,3,https://rev-static.yogiyo.co.kr/0453c7b72743d5f8d02f730067c43aed_tn.jpg,사장님 답글이 없어요 ,넘 맛있어요,"['넘', '맛있어요']","[('넘', 'Verb'), ('맛있어요', 'Adjective')]",[],,,",넘",",맛있어요"
2021년 11월 01일,권선동,후라이드참잘하는집-권선세류점,kj**님,후라이드/1,항상 맛있게 먹습니다리뷰서비스 감자튀김도 굳이에요,5,5,5,https://rev-static.yogiyo.co.kr/26cb9bbef4d23d45ee8b9a3fec8cb658_tn.jpg,사장님 답글이 없어요 ,항상 맛있게 먹습니다리뷰서비스 감자튀김도 굳이에요,"['항상', '맛있게', '먹습니다', '리뷰', '서비스', '감자', '튀김', '도', '굳이', '에요']","[('항상', 'Noun'), ('맛있게', 'Adjective'), ('먹습니다', 'Verb'), ('리뷰', 'Noun'), ('서비스', 'Noun'), ('감자', 'Noun'), ('튀김', 'Noun'), ('도', 'Josa'), ('굳이', 'Noun'), ('에요', 'Josa')]","['항상', '리뷰', '서비스', '감자', '튀김', '굳이']",,,",먹습니다",",맛있게"
2021년 11월 01일,권선동,후라이드참잘하는집-권선세류점,jh**님,후라이드/1,맛있게 잘 먹었습니다~  번창하세요~~~☆,5,5,5,https://rev-static.yogiyo.co.kr/adc4011113e5e5db1aa7678378bc326d_tn.jpg,사장님 답글이 없어요 ,맛있게 잘 먹었습니다  번창하세요,"['맛있게', '잘', '먹었습니다', '번창', '하세요']","[('맛있게', 'Adjective'), ('잘', 'Verb'), ('먹었습니다', 'Verb'), ('번창', 'Noun'), ('하세요', 'Verb')]",['번창'],,,",잘,먹었습니다,하세요",",맛있게"
2021년 11월 01일,권선동,후라이드참잘하는집-권선세류점,rl**님,순살 후라이드/1,맛있게 잘 먹었습니다.,5,5,5,https://rev-static.yogiyo.co.kr/c8ee68c2b51c2cb86df94bd6a462670a_tn.jpg,사장님 답글이 없어요 ,맛있게 잘 먹었습니다,"['맛있게', '잘', '먹었습니다']","[('맛있게', 'Adjective'), ('잘', 'Verb'), ('먹었습니다', 'Verb')]",[],,,",잘,먹었습니다",",맛있게"
2021년 11월 01일,권선동,후라이드참잘하는집-권선세류점,uk**님,후라이드/1,또 시켰었는데 맛있네요,5,5,5,https://github.com/kuick1kim/01colap/raw/main/csv/no-image-found-360x250-1.png,사장님 답글이 없어요 ,또 시켰었는데 맛있네요,"['또', '시켰었는데', '맛있네요']","[('또', 'Noun'), ('시켰었는데', 'Verb'), ('맛있네요', 'Adjective')]",['또'],,,",시켰었는데",",맛있네요"
2021년 11월 01일,권선동,후라이드참잘하는집-권선세류점,tj**님,"반반치킨（후라이드반＋양념반）/1(뼈or순살 선택(뼈),추가 선택(치즈볼 4개)),[신메뉴]킹트리플 크리미킹 소스/1",배달예상시간보다 빨리왔구맛있게 먹었어요!! 후참👍👍,5,5,5,https://rev-static.yogiyo.co.kr/f9c537dce42e0bae0beee6bd2c7f2f96_tn.jpg,사장님 답글이 없어요 ,배달예상시간보다 빨리왔구맛있게 먹었어요 후참,"['배달', '예상', '시간', '보다', '빨리', '왔구', '맛있게', '먹었어요', '후', '참']","[('배달', 'Noun'), ('예상', 'Noun'), ('시간', 'Noun'), ('보다', 'Josa'), ('빨리', 'Adverb'), ('왔구', 'Verb'), ('맛있게', 'Adjective'), ('먹었어요', 'Verb'), ('후', 'Noun'), ('참', 'Verb')]","['배달', '예상', '시간', '후']",",빨리",,",왔구,먹었어요,참",",맛있게"
2021년 11월 01일,권선동,후라이드참잘하는집-권선세류점,wn**님,반반치킨（후라이드반＋양념반）/1(뼈or순살 선택(순살)),친구가 맛있다고 추천해서 점심부터 시켰습니다 ㅎ 양도 많고 바삭바삭 맛있네요~^^ 강추합니다,5,5,5,https://rev-static.yogiyo.co.kr/fae7aeae2ea4a3cee6da1cd9ba418ac6_tn.jpg,사장님 답글이 없어요 ,친구가 맛있다고 추천해서 점심부터 시켰습니다 ㅎ 양도 많고 바삭바삭 맛있네요 강추합니다,"['친구', '가', '맛있다고', '추천', '해서', '점심', '부터', '시켰습니다', 'ㅎ', '양도', '많고', '바삭바삭', '맛있네요', '강', '추합니다']","[('친구', 'Noun'), ('가', 'Josa'), ('맛있다고', 'Adjective'), ('추천', 'Noun'), ('해서', 'Verb'), ('점심', 'Noun'), ('부터', 'Josa'), ('시켰습니다', 'Verb'), ('ㅎ', 'KoreanParticle'), ('양도', 'Noun'), ('많고', 'Adjective'), ('바삭바삭', 'Adverb'), ('맛있네요', 'Adjective'), ('강', 'Noun'), ('추합니다', 'Adjective')]","['친구', '추천', '점심', '양도', '강']",",바삭바삭",,",해서,시켰습니다",",맛있다고,많고,맛있네요,추합니다"
