time,지역,가게이름,아이디,주문내용,댓글,맛,양,배달,사진주소,sajang,ko_text,token_review,tagging,Noun,Adverb,Number,Verb,Adjective
2021년 11월 24일,당수동,코리엔탈깻잎두마리치킨-율천점,ca**님,"두마리 2가지맛 선택/1(치킨선택1(후라이드),치킨선택2(파닭 양념))",다음엔 좀더 정갈하게 배달왔으면 좋겠어요치킨도 좀 식었을뿐더러 흔들렸는지  소스도 넘치고 좀 뒤죽박죽이였네요,4,4,4,https://rev-static.yogiyo.co.kr/18941e0be46b55199c1cbc4afc855af8_tn.jpg,사장님 답글이 없어요 ,다음엔 좀더 정갈하게 배달왔으면 좋겠어요치킨도 좀 식었을뿐더러 흔들렸는지  소스도 넘치고 좀 뒤죽박죽이였네요,"['다음', '엔', '좀더', '정갈하게', '배달', '왔으면', '좋겠어요', '치킨', '도', '좀', '식었을뿐더러', '흔들렸는지', '소스', '도', '넘치고', '좀', '뒤죽박죽', '이', '였네요']","[('다음', 'Noun'), ('엔', 'Josa'), ('좀더', 'Noun'), ('정갈하게', 'Adjective'), ('배달', 'Noun'), ('왔으면', 'Verb'), ('좋겠어요', 'Adjective'), ('치킨', 'Noun'), ('도', 'Josa'), ('좀', 'Noun'), ('식었을뿐더러', 'Verb'), ('흔들렸는지', 'Verb'), ('소스', 'Noun'), ('도', 'Josa'), ('넘치고', 'Verb'), ('좀', 'Noun'), ('뒤죽박죽', 'Noun'), ('이', 'Josa'), ('였네요', 'Verb')]","['다음', '좀더', '배달', '치킨', '좀', '소스', '좀', '뒤죽박죽']",,,",왔으면,식었을뿐더러,흔들렸는지,넘치고,였네요",",정갈하게,좋겠어요"
2021년 11월 23일,당수동,코리엔탈깻잎두마리치킨-율천점,tj**님,"두마리 2가지맛 선택/1(치킨선택1(후라이드),치킨선택2(（인기）양념))",맛있었습니당 ㅋㅋㅋㅋ,5,5,5,https://github.com/kuick1kim/01colap/raw/main/csv/no-image-found-360x250-1.png,사장님 답글이 없어요 ,맛있었습니당 ㅋㅋㅋㅋ,"['맛있었', '습', '니당', 'ㅋㅋㅋㅋ']","[('맛있었', 'Adjective'), ('습', 'Noun'), ('니당', 'Verb'), ('ㅋㅋㅋㅋ', 'KoreanParticle')]",['습'],,,",니당",",맛있었"
2021년 11월 23일,당수동,코리엔탈깻잎두마리치킨-율천점,lo**님,"두마리 2가지맛 선택/1(치킨선택1(후라이드),치킨선택2(간장))",진짜 맛있었어요-!씹히는 맛이 아삭--!!양도 많고요~♡♡♡맛.양.배송  모두 100점 입니다~👍👍👍,5,5,5,https://rev-static.yogiyo.co.kr/4321ec5fbe3d79ddad9ce3126ad62967_tn.jpg,사장님 답글이 없어요 ,진짜 맛있었어요씹히는 맛이 아삭양도 많고요맛양배송  모두 점 입니다,"['진짜', '맛있었어요', '씹히는', '맛', '이', '아', '삭', '양', '도', '많고요', '맛', '양', '배송', '모두', '점', '입니다']","[('진짜', 'Noun'), ('맛있었어요', 'Adjective'), ('씹히는', 'Verb'), ('맛', 'Noun'), ('이', 'Josa'), ('아', 'Exclamation'), ('삭', 'Noun'), ('양', 'Suffix'), ('도', 'Josa'), ('많고요', 'Adjective'), ('맛', 'Noun'), ('양', 'Suffix'), ('배송', 'Noun'), ('모두', 'Noun'), ('점', 'Noun'), ('입니다', 'Adjective')]","['진짜', '맛', '삭', '맛', '배송', '모두', '점']",,,",씹히는",",맛있었어요,많고요,입니다"
2021년 11월 22일,당수동,코리엔탈깻잎두마리치킨-율천점,wn**님,"두마리 2가지맛 선택/1(치킨선택1(슈프림 간장),치킨선택2(슈프림 양념),음료추가(음료 1.25L 변경))",너무 맛있어서 사진도 안찍고 먹었습니다. 같이 온 감튀도 맛있었습니다. 역시 깻잎치킨,5,5,5,https://github.com/kuick1kim/01colap/raw/main/csv/no-image-found-360x250-1.png,사장님 답글이 없어요 ,너무 맛있어서 사진도 안찍고 먹었습니다 같이 온 감튀도 맛있었습니다 역시 깻잎치킨,"['너무', '맛있어서', '사진', '도', '안', '찍고', '먹었습니다', '같이', '온', '감', '튀도', '맛있었습니다', '역시', '깻잎', '치킨']","[('너무', 'Adverb'), ('맛있어서', 'Adjective'), ('사진', 'Noun'), ('도', 'Josa'), ('안', 'VerbPrefix'), ('찍고', 'Verb'), ('먹었습니다', 'Verb'), ('같이', 'Adverb'), ('온', 'Noun'), ('감', 'Noun'), ('튀도', 'Verb'), ('맛있었습니다', 'Adjective'), ('역시', 'Noun'), ('깻잎', 'Noun'), ('치킨', 'Noun')]","['사진', '온', '감', '역시', '깻잎', '치킨']",",너무,같이",,",찍고,먹었습니다,튀도",",맛있어서,맛있었습니다"
2021년 11월 22일,당수동,코리엔탈깻잎두마리치킨-율천점,79**님,한마리 1가지맛 선택/1(치킨선택1(후라이드)),저렴하게 구매했어요 좋아요,5,5,0,https://rev-static.yogiyo.co.kr/b08e7088f4b3e3fd4fc9e16fe3ebcb45_tn.jpg,사장님 답글이 없어요 ,저렴하게 구매했어요 좋아요,"['저렴하게', '구매', '했어요', '좋아요']","[('저렴하게', 'Adjective'), ('구매', 'Noun'), ('했어요', 'Verb'), ('좋아요', 'Adjective')]",['구매'],,,",했어요",",저렴하게,좋아요"
2021년 11월 21일,당수동,코리엔탈깻잎두마리치킨-율천점,k2**님,"두마리 2가지맛 선택/1(치킨선택1(마늘간장),치킨선택2(양파크리미치킨))",치킨이 살짝 과하게 튀겨진 느낌적인 느낌은 있으나 맛잇게 먹었어요,4,4,0,https://github.com/kuick1kim/01colap/raw/main/csv/no-image-found-360x250-1.png,사장님 답글이 없어요 ,치킨이 살짝 과하게 튀겨진 느낌적인 느낌은 있으나 맛잇게 먹었어요,"['치킨', '이', '살짝', '과', '하게', '튀겨진', '느낌', '적', '인', '느낌', '은', '있으나', '맛', '잇게', '먹었어요']","[('치킨', 'Noun'), ('이', 'Josa'), ('살짝', 'Noun'), ('과', 'Noun'), ('하게', 'Verb'), ('튀겨진', 'Verb'), ('느낌', 'Noun'), ('적', 'Suffix'), ('인', 'Josa'), ('느낌', 'Noun'), ('은', 'Josa'), ('있으나', 'Adjective'), ('맛', 'Noun'), ('잇게', 'Verb'), ('먹었어요', 'Verb')]","['치킨', '살짝', '과', '느낌', '느낌', '맛']",,,",하게,튀겨진,잇게,먹었어요",",있으나"
2021년 11월 21일,당수동,코리엔탈깻잎두마리치킨-율천점,gh**님,"[ NEW ] '로제퀸'치킨 두마리 세트＋국물떡볶이/1(치킨선택1(후라이드),국물떡볶이선택(국물떡볶이（보통맛）))",치킨 맛있게 잘 먹었습니다. 로제는 연구가 더 필요해보여요,3,5,3,https://github.com/kuick1kim/01colap/raw/main/csv/no-image-found-360x250-1.png,사장님 답글이 없어요 ,치킨 맛있게 잘 먹었습니다 로제는 연구가 더 필요해보여요,"['치킨', '맛있게', '잘', '먹었습니다', '로제', '는', '연구', '가', '더', '필요', '해보여요']","[('치킨', 'Noun'), ('맛있게', 'Adjective'), ('잘', 'Verb'), ('먹었습니다', 'Verb'), ('로제', 'Noun'), ('는', 'Josa'), ('연구', 'Noun'), ('가', 'Josa'), ('더', 'Noun'), ('필요', 'Noun'), ('해보여요', 'Verb')]","['치킨', '로제', '연구', '더', '필요']",,,",잘,먹었습니다,해보여요",",맛있게"
2021년 11월 20일,당수동,코리엔탈깻잎두마리치킨-율천점,co**님,[ NEW ] '로제퀸'치킨 두마리 세트/1(치킨선택1(（NEW）치즈킹치킨)),맛있게 잘 먹었습니다,5,5,5,https://rev-static.yogiyo.co.kr/0fe6b548bcbc66eeb92f81bba2459d78_tn.jpg,사장님 답글이 없어요 ,맛있게 잘 먹었습니다,"['맛있게', '잘', '먹었습니다']","[('맛있게', 'Adjective'), ('잘', 'Verb'), ('먹었습니다', 'Verb')]",[],,,",잘,먹었습니다",",맛있게"
2021년 12월 07일,당수동,코리엔탈깻잎두마리치킨-율천점,do**님,"두마리 2가지맛 선택/1(치킨선택1(（BEST）수원 왕갈비치킨),치킨선택2(（BEST）수원 왕갈비치킨))",왕갈비가제일 맛있어서 왕갈비만시켜요,5,5,5,https://github.com/kuick1kim/01colap/raw/main/csv/no-image-found-360x250-1.png,사장님 답글이 없어요 ,왕갈비가제일 맛있어서 왕갈비만시켜요,"['왕', '갈비', '가', '제일', '맛있어서', '왕', '갈비', '만', '시켜요']","[('왕', 'Noun'), ('갈비', 'Noun'), ('가', 'Josa'), ('제일', 'Noun'), ('맛있어서', 'Adjective'), ('왕', 'Noun'), ('갈비', 'Noun'), ('만', 'Josa'), ('시켜요', 'Verb')]","['왕', '갈비', '제일', '왕', '갈비']",,,",시켜요",",맛있어서"
2021년 12월 07일,당수동,코리엔탈깻잎두마리치킨-율천점,of**님,[ NEW ] '로제퀸'치킨 두마리 세트＋라이스 치즈볼 8개/1(치킨선택1(마늘간장)),맛있습니다 ㅎ 네 뭐… 굿굿 젛아요 또 먹을게요,5,5,5,https://github.com/kuick1kim/01colap/raw/main/csv/no-image-found-360x250-1.png,사장님 답글이 없어요 ,맛있습니다 ㅎ 네 뭐 굿굿 젛아요 또 먹을게요,"['맛있습니다', 'ㅎ', '네', '뭐', '굿굿', '젛아', '요', '또', '먹을게요']","[('맛있습니다', 'Adjective'), ('ㅎ', 'KoreanParticle'), ('네', 'Noun'), ('뭐', 'Noun'), ('굿굿', 'Noun'), ('젛아', 'Noun'), ('요', 'Josa'), ('또', 'Noun'), ('먹을게요', 'Verb')]","['네', '뭐', '굿굿', '젛아', '또']",,,",먹을게요",",맛있습니다"
