time,지역,가게이름,아이디,주문내용,댓글,맛,양,배달,사진주소,sajang,ko_text,token_review,tagging,Noun,Adverb,Number,Verb,Adjective
2021년 11월 03일,권선동,교촌치킨-매교점,lx**님,,맛있게 잘 먹었습니다.,4,4,5,https://github.com/kuick1kim/01colap/raw/main/csv/no-image-found-360x250-1.png,사장님 답글이 없어요 ,맛있게 잘 먹었습니다,"['맛있게', '잘', '먹었습니다']","[('맛있게', 'Adjective'), ('잘', 'Verb'), ('먹었습니다', 'Verb')]",[],,,",잘,먹었습니다",",맛있게"
2021년 11월 03일,권선동,교촌치킨-매교점,jj**님,교촌허니콤보/1(디핑소스 추가(레드디핑소스)),맛있게 잘 먹었습니다,5,5,5,https://github.com/kuick1kim/01colap/raw/main/csv/no-image-found-360x250-1.png,사장님 답글이 없어요 ,맛있게 잘 먹었습니다,"['맛있게', '잘', '먹었습니다']","[('맛있게', 'Adjective'), ('잘', 'Verb'), ('먹었습니다', 'Verb')]",[],,,",잘,먹었습니다",",맛있게"
2021년 11월 03일,권선동,교촌치킨-매교점,ls**님,,치즈볼 맛있네요맛있게 잘먹었습니다 ^^,5,5,5,https://rev-static.yogiyo.co.kr/1def7f27edd7cf47f0fba1e877b8dcb4_tn.jpg,사장님 답글이 없어요 ,치즈볼 맛있네요맛있게 잘먹었습니다 ,"['치즈볼', '맛있네요', '맛있게', '잘', '먹었습니다']","[('치즈볼', 'Noun'), ('맛있네요', 'Adjective'), ('맛있게', 'Adjective'), ('잘', 'VerbPrefix'), ('먹었습니다', 'Verb')]",['치즈볼'],,,",먹었습니다",",맛있네요,맛있게"
2021년 11월 02일,권선동,교촌치킨-매교점,tj**님,,맛있습니다. 잘먹었습니다.,5,5,5,https://rev-static.yogiyo.co.kr/5c84ec72d60abad5d775ac9f6f28eb79_tn.jpg,사장님 답글이 없어요 ,맛있습니다 잘먹었습니다,"['맛있습니다', '잘', '먹었습니다']","[('맛있습니다', 'Adjective'), ('잘', 'VerbPrefix'), ('먹었습니다', 'Verb')]",[],,,",먹었습니다",",맛있습니다"
2021년 11월 02일,권선동,교촌치킨-매교점,ke**님,"교촌레드순살[R]/1,교촌웨지감자/1",예상배달시간보다17분 늦었고.치킨은 식어있어서 속상합니다.하지만 맛은 있어요.,4,4,1,https://rev-static.yogiyo.co.kr/a266dedc2827938804f5ebc299b26fbc_tn.jpg,사장님 답글이 없어요 ,예상배달시간보다분 늦었고치킨은 식어있어서 속상합니다하지만 맛은 있어요,"['예상', '배달', '시간', '보다', '분', '늦었고', '치킨', '은', '식어있어서', '속상합니다', '하지만', '맛', '은', '있어요']","[('예상', 'Noun'), ('배달', 'Noun'), ('시간', 'Noun'), ('보다', 'Josa'), ('분', 'Noun'), ('늦었고', 'Verb'), ('치킨', 'Noun'), ('은', 'Josa'), ('식어있어서', 'Verb'), ('속상합니다', 'Adjective'), ('하지만', 'Conjunction'), ('맛', 'Noun'), ('은', 'Josa'), ('있어요', 'Adjective')]","['예상', '배달', '시간', '분', '치킨', '맛']",,,",늦었고,식어있어서",",속상합니다,있어요"
2021년 11월 02일,권선동,교촌치킨-매교점,wl**님,"교촌레드오리지날/1(사이드 메뉴(선택안함)),교촌웨지감자/1",맛있게 잘 먹었습니다 감사합니다~,5,5,5,https://rev-static.yogiyo.co.kr/86f10a5c5883c7289cf875eaa345b26e_tn.jpg,사장님 답글이 없어요 ,맛있게 잘 먹었습니다 감사합니다,"['맛있게', '잘', '먹었습니다', '감사합니다']","[('맛있게', 'Adjective'), ('잘', 'Verb'), ('먹었습니다', 'Verb'), ('감사합니다', 'Verb')]",[],,,",잘,먹었습니다,감사합니다",",맛있게"
2021년 11월 01일,권선동,교촌치킨-매교점,my**님,교촌레드콤보/1,"너무 맛있었으나 매장 출발시간과 다르게 너무 늦고, 치킨이 다식음 근데 맛잇음",5,5,1,https://github.com/kuick1kim/01colap/raw/main/csv/no-image-found-360x250-1.png,사장님 답글이 없어요 ,너무 맛있었으나 매장 출발시간과 다르게 너무 늦고 치킨이 다식음 근데 맛잇음,"['너무', '맛있었으나', '매장', '출발', '시간', '과', '다르게', '너무', '늦고', '치킨', '이', '다식', '음', '근데', '맛', '잇음']","[('너무', 'Adverb'), ('맛있었으나', 'Adjective'), ('매장', 'Noun'), ('출발', 'Noun'), ('시간', 'Noun'), ('과', 'Josa'), ('다르게', 'Adjective'), ('너무', 'Adverb'), ('늦고', 'Verb'), ('치킨', 'Noun'), ('이', 'Josa'), ('다식', 'Noun'), ('음', 'Noun'), ('근데', 'Adverb'), ('맛', 'Noun'), ('잇음', 'Verb')]","['매장', '출발', '시간', '치킨', '다식', '음', '맛']",",너무,너무,근데",,",늦고,잇음",",맛있었으나,다르게"
2021년 11월 01일,권선동,교촌치킨-매교점,ps**님,허니오리지날＋퐁듀치즈볼[6개]/1,맛나게아이와먹었습니다감사해요,5,5,5,https://github.com/kuick1kim/01colap/raw/main/csv/no-image-found-360x250-1.png,사장님 답글이 없어요 ,맛나게아이와먹었습니다감사해요,"['맛', '나게아이와', '먹었습니다', '감사해요']","[('맛', 'Noun'), ('나게아이와', 'Verb'), ('먹었습니다', 'Verb'), ('감사해요', 'Verb')]",['맛'],,,",나게아이와,먹었습니다,감사해요",
2021년 11월 01일,권선동,교촌치킨-매교점,mo**님,반반오리지날＋퐁듀치즈볼[6개]/1,너무맛있게잘먹었습니다,5,5,5,https://github.com/kuick1kim/01colap/raw/main/csv/no-image-found-360x250-1.png,사장님 답글이 없어요 ,너무맛있게잘먹었습니다,"['너무', '맛있게잘', '먹었습니다']","[('너무', 'Adverb'), ('맛있게잘', 'Adjective'), ('먹었습니다', 'Verb')]",[],",너무",,",먹었습니다",",맛있게잘"
2021년 11월 01일,권선동,교촌치킨-매교점,km**님,교촌허니콤보/1,"오랜만에 시켜 먹어본 허니콤보였는데, 역시는 역시. 맛있네요",5,5,5,https://github.com/kuick1kim/01colap/raw/main/csv/no-image-found-360x250-1.png,사장님 답글이 없어요 ,오랜만에 시켜 먹어본 허니콤보였는데 역시는 역시 맛있네요,"['오랜', '만', '에', '시켜', '먹어', '본', '허니콤', '보였는데', '역시', '는', '역시', '맛있네요']","[('오랜', 'Modifier'), ('만', 'Noun'), ('에', 'Josa'), ('시켜', 'Verb'), ('먹어', 'Verb'), ('본', 'Verb'), ('허니콤', 'Noun'), ('보였는데', 'Verb'), ('역시', 'Noun'), ('는', 'Josa'), ('역시', 'Noun'), ('맛있네요', 'Adjective')]","['만', '허니콤', '역시', '역시']",,,",시켜,먹어,본,보였는데",",맛있네요"
2021년 11월 01일,권선동,교촌치킨-매교점,ka**님,허니오리지날＋퐁듀치즈볼[6개]/1,허니오리지날 맛있어용~~!,5,5,5,https://rev-static.yogiyo.co.kr/da2543b6c23f8ad64a09cad7c85791c6_tn.jpg,사장님 답글이 없어요 ,허니오리지날 맛있어용,"['허니오리지', '날', '맛있어용']","[('허니오리지', 'Verb'), ('날', 'Noun'), ('맛있어용', 'Adjective')]",['날'],,,",허니오리지",",맛있어용"
2021년 11월 01일,권선동,교촌치킨-매교점,el**님,발사믹치킨/1,"간장소스 치킨 이랑 비슷한 맛 같아요먹을만은한데 소스는 내취향은 아닌것같아서 소스없이 먹었네요교촌은 역시 레드!배달은 비대면했더니 문앞에두고 문자도없고, 벨도안눌러주고 밖에 15분이상 있었네요배달온지도 모르고 너무안와서 열어보니 앞에있더라는...다 식음",5,5,1,https://rev-static.yogiyo.co.kr/48e55e6c23b52c431cdd0995511296f1_tn.jpg,사장님 답글이 없어요 ,간장소스 치킨 이랑 비슷한 맛 같아요먹을만은한데 소스는 내취향은 아닌것같아서 소스없이 먹었네요교촌은 역시 레드배달은 비대면했더니 문앞에두고 문자도없고 벨도안눌러주고 밖에 분이상 있었네요배달온지도 모르고 너무안와서 열어보니 앞에있더라는다 식음,"['간장', '소스', '치킨', '이랑', '비슷한', '맛', '같아요', '먹을만은', '한', '데', '소스', '는', '내', '취향', '은', '아닌것', '같아서', '소스', '없이', '먹었네요', '교촌', '은', '역시', '레드', '배달', '은', '비대', '면', '했더니', '문', '앞', '에두', '고', '문자', '도', '없고', '벨', '도안', '눌러주고', '밖에', '분', '이상', '있었네요', '배달', '온', '지도', '모르고', '너', '무안', '와', '서', '열', '어보', '니', '앞', '에', '있더라는', '다', '식음']","[('간장', 'Noun'), ('소스', 'Noun'), ('치킨', 'Noun'), ('이랑', 'Josa'), ('비슷한', 'Adjective'), ('맛', 'Noun'), ('같아요', 'Adjective'), ('먹을만은', 'Verb'), ('한', 'Determiner'), ('데', 'Noun'), ('소스', 'Noun'), ('는', 'Josa'), ('내', 'Determiner'), ('취향', 'Noun'), ('은', 'Josa'), ('아닌것', 'Adjective'), ('같아서', 'Adjective'), ('소스', 'Noun'), ('없이', 'Adverb'), ('먹었네요', 'Verb'), ('교촌', 'Noun'), ('은', 'Josa'), ('역시', 'Noun'), ('레드', 'Noun'), ('배달', 'Noun'), ('은', 'Josa'), ('비대', 'Noun'), ('면', 'Josa'), ('했더니', 'Verb'), ('문', 'Modifier'), ('앞', 'Noun'), ('에두', 'Noun'), ('고', 'Josa'), ('문자', 'Noun'), ('도', 'Josa'), ('없고', 'Adjective'), ('벨', 'Modifier'), ('도안', 'Noun'), ('눌러주고', 'Verb'), ('밖에', 'Josa'), ('분', 'Noun'), ('이상', 'Noun'), ('있었네요', 'Adjective'), ('배달', 'Noun'), ('온', 'Modifier'), ('지도', 'Noun'), ('모르고', 'Verb'), ('너', 'Modifier'), ('무안', 'Noun'), ('와', 'Josa'), ('서', 'Verb'), ('열', 'Modifier'), ('어보', 'Noun'), ('니', 'Josa'), ('앞', 'Noun'), ('에', 'Josa'), ('있더라는', 'Adjective'), ('다', 'Adverb'), ('식음', 'Noun')]","['간장', '소스', '치킨', '맛', '데', '소스', '취향', '소스', '교촌', '역시', '레드', '배달', '비대', '앞', '에두', '문자', '도안', '분', '이상', '배달', '지도', '무안', '어보', '앞', '식음']",",없이,다",,",먹을만은,먹었네요,했더니,눌러주고,모르고,서",",비슷한,같아요,아닌것,같아서,없고,있었네요,있더라는"
2021년 10월 31일,권선동,교촌치킨-매교점,eh**님,교촌허니콤보/1(사이드 메뉴(선택안함)),역시 교촌은 허니콤보 👍 매교역 이집이 맛집이네요 다음에 또먹을게요,5,5,5,https://github.com/kuick1kim/01colap/raw/main/csv/no-image-found-360x250-1.png,사장님 답글이 없어요 ,역시 교촌은 허니콤보  매교역 이집이 맛집이네요 다음에 또먹을게요,"['역시', '교촌', '은', '허니', '콤보', '매교역', '이집', '이', '맛집', '이네', '요', '다음', '에', '또', '먹을게요']","[('역시', 'Noun'), ('교촌', 'Noun'), ('은', 'Josa'), ('허니', 'Noun'), ('콤보', 'Noun'), ('매교역', 'Noun'), ('이집', 'Noun'), ('이', 'Josa'), ('맛집', 'Noun'), ('이네', 'Josa'), ('요', 'Noun'), ('다음', 'Noun'), ('에', 'Josa'), ('또', 'Noun'), ('먹을게요', 'Verb')]","['역시', '교촌', '허니', '콤보', '매교역', '이집', '맛집', '요', '다음', '또']",,,",먹을게요",
2021년 10월 31일,권선동,교촌치킨-매교점,pa**님,발사믹치킨/1(디핑소스 추가(레드디핑소스)),맛나요요최고에오요요용,5,5,5,https://rev-static.yogiyo.co.kr/e77ec8c292d77a393b624cff2f3ced4e_tn.jpg,사장님 답글이 없어요 ,맛나요요최고에오요요용,"['맛', '나', '요', '요', '최고', '에', '오', '요', '요', '용']","[('맛', 'Noun'), ('나', 'Josa'), ('요', 'Modifier'), ('요', 'Modifier'), ('최고', 'Noun'), ('에', 'Josa'), ('오', 'Modifier'), ('요', 'Modifier'), ('요', 'Modifier'), ('용', 'Noun')]","['맛', '최고', '용']",,,,
2021년 10월 31일,권선동,교촌치킨-매교점,mu**님,레드오리지날＋퐁듀치즈볼[6개]/1,배달 빠르고 일찍 받게 신경 써주셔서 너무 감사해요,5,5,5,https://github.com/kuick1kim/01colap/raw/main/csv/no-image-found-360x250-1.png,사장님 답글이 없어요 ,배달 빠르고 일찍 받게 신경 써주셔서 너무 감사해요,"['배달', '빠르고', '일찍', '받게', '신경', '써주셔서', '너무', '감사해요']","[('배달', 'Noun'), ('빠르고', 'Adjective'), ('일찍', 'Noun'), ('받게', 'Verb'), ('신경', 'Noun'), ('써주셔서', 'Verb'), ('너무', 'Adverb'), ('감사해요', 'Verb')]","['배달', '일찍', '신경']",",너무",,",받게,써주셔서,감사해요",",빠르고"
2021년 10월 31일,권선동,교촌치킨-매교점,eh**님,교촌허니콤보/1(사이드 메뉴(교촌궁중닭갈비볶음밥（간장맛）)),이맛 모르는 사람은 치킨을 말할 자격이 없다.,5,5,5,https://github.com/kuick1kim/01colap/raw/main/csv/no-image-found-360x250-1.png,사장님 답글이 없어요 ,이맛 모르는 사람은 치킨을 말할 자격이 없다,"['이', '맛', '모르는', '사람', '은', '치킨', '을', '말', '할', '자격', '이', '없다']","[('이', 'Determiner'), ('맛', 'Noun'), ('모르는', 'Verb'), ('사람', 'Noun'), ('은', 'Josa'), ('치킨', 'Noun'), ('을', 'Josa'), ('말', 'Noun'), ('할', 'Verb'), ('자격', 'Noun'), ('이', 'Josa'), ('없다', 'Adjective')]","['맛', '사람', '치킨', '말', '자격']",,,",모르는,할",",없다"
2021년 10월 31일,권선동,교촌치킨-매교점,90**님,허니오리지날＋퐁듀치즈볼[6개]/1(사이드 메뉴(선택안함)),진짜 맛있었습니다 강추!!,5,5,5,https://github.com/kuick1kim/01colap/raw/main/csv/no-image-found-360x250-1.png,사장님 답글이 없어요 ,진짜 맛있었습니다 강추,"['진짜', '맛있었습니다', '강추']","[('진짜', 'Noun'), ('맛있었습니다', 'Adjective'), ('강추', 'Noun')]","['진짜', '강추']",,,,",맛있었습니다"
2021년 10월 31일,권선동,교촌치킨-매교점,wl**님,교촌레허반반순살/1(사이드 메뉴(교촌칠리포테이토)),사진을못찍었지만 존맛탱,5,5,5,https://github.com/kuick1kim/01colap/raw/main/csv/no-image-found-360x250-1.png,사장님 답글이 없어요 ,사진을못찍었지만 존맛탱,"['사진', '을', '못', '찍었지만', '존맛', '탱']","[('사진', 'Noun'), ('을', 'Josa'), ('못', 'VerbPrefix'), ('찍었지만', 'Verb'), ('존맛', 'Noun'), ('탱', 'Adverb')]","['사진', '존맛']",",탱",,",찍었지만",
2021년 10월 30일,권선동,교촌치킨-매교점,yi**님,"교촌허니콤보/1(사이드 메뉴(교촌퐁듀치즈볼),디핑소스 추가(레드디핑소스)),레드디핑소스/1",역시 교촌 허니콤보는 진리ㅠㅠ,5,5,5,https://rev-static.yogiyo.co.kr/fdd42431d07e7c36064ed97d67741097_tn.jpg,사장님 답글이 없어요 ,역시 교촌 허니콤보는 진리ㅠㅠ,"['역시', '교촌', '허니콤', '보는', '진리', 'ㅠㅠ']","[('역시', 'Noun'), ('교촌', 'Noun'), ('허니콤', 'Noun'), ('보는', 'Verb'), ('진리', 'Noun'), ('ㅠㅠ', 'KoreanParticle')]","['역시', '교촌', '허니콤', '진리']",,,",보는",
2021년 10월 30일,권선동,교촌치킨-매교점,xl**님,교촌레드윙/1,매주먹는듯해요 진짜맛있어요!'ㅜㅜ,5,5,5,https://rev-static.yogiyo.co.kr/e706b20ff0474e8967ba18151d58e916_tn.jpg,사장님 답글이 없어요 ,매주먹는듯해요 진짜맛있어요ㅜㅜ,"['매주', '먹는듯', '해', '요', '진짜', '맛있어요', 'ㅜㅜ']","[('매주', 'Adverb'), ('먹는듯', 'Verb'), ('해', 'Noun'), ('요', 'Josa'), ('진짜', 'Noun'), ('맛있어요', 'Adjective'), ('ㅜㅜ', 'KoreanParticle')]","['해', '진짜']",",매주",,",먹는듯",",맛있어요"
2021년 10월 30일,권선동,교촌치킨-매교점,dk**님,교촌허니콤보/1,ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ,5,5,5,https://github.com/kuick1kim/01colap/raw/main/csv/no-image-found-360x250-1.png,사장님 답글이 없어요 ,ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ,['ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ'],"[('ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ', 'KoreanParticle')]",[],,,,
2021년 10월 30일,권선동,교촌치킨-매교점,qk**님,발사믹치킨/1,배달도 빠르고 잘 먹었습니다,5,5,5,https://rev-static.yogiyo.co.kr/f2f533ed18dfe430a738f688f6adddf6_tn.jpg,사장님 답글이 없어요 ,배달도 빠르고 잘 먹었습니다,"['배달', '도', '빠르고', '잘', '먹었습니다']","[('배달', 'Noun'), ('도', 'Josa'), ('빠르고', 'Adjective'), ('잘', 'Verb'), ('먹었습니다', 'Verb')]",['배달'],,,",잘,먹었습니다",",빠르고"
2021년 10월 30일,권선동,교촌치킨-매교점,12**님,교촌오리지날＋퐁듀치즈볼[6개]/1,맛있게잘먹겠습니다.,5,5,5,https://rev-static.yogiyo.co.kr/dc922019622f47a43d7e13ae962384dd_tn.jpg,사장님 답글이 없어요 ,맛있게잘먹겠습니다,"['맛있게잘', '먹겠습니다']","[('맛있게잘', 'Adjective'), ('먹겠습니다', 'Verb')]",[],,,",먹겠습니다",",맛있게잘"
2021년 10월 30일,권선동,교촌치킨-매교점,kh**님,시그니처세트/1,최고 메뉴 세가지가 다 있어서 좋습니다,5,5,5,https://rev-static.yogiyo.co.kr/723374dc87564b49e459275278dd2167_tn.jpg,사장님 답글이 없어요 ,최고 메뉴 세가지가 다 있어서 좋습니다,"['최고', '메뉴', '세', '가지', '가', '다', '있어서', '좋습니다']","[('최고', 'Noun'), ('메뉴', 'Noun'), ('세', 'Modifier'), ('가지', 'Noun'), ('가', 'Josa'), ('다', 'Adverb'), ('있어서', 'Adjective'), ('좋습니다', 'Adjective')]","['최고', '메뉴', '가지']",",다",,,",있어서,좋습니다"
2021년 10월 30일,권선동,교촌치킨-매교점,dr**님,"교촌오리지날＋퐁듀치즈볼[6개]/1,허니오리지날＋퐁듀치즈볼[6개]/1",맛있어여 허니오리지날중 좀 너무 바삭한거빼곤만족입니다. 잘먹었습니다.,5,5,5,https://github.com/kuick1kim/01colap/raw/main/csv/no-image-found-360x250-1.png,사장님 답글이 없어요 ,맛있어여 허니오리지날중 좀 너무 바삭한거빼곤만족입니다 잘먹었습니다,"['맛있어여', '허니오리지', '날', '중', '좀', '너무', '바삭', '한', '거', '빼곤', '만족', '입니다', '잘', '먹었습니다']","[('맛있어여', 'Adjective'), ('허니오리지', 'Verb'), ('날', 'Noun'), ('중', 'Suffix'), ('좀', 'Noun'), ('너무', 'Adverb'), ('바삭', 'Noun'), ('한', 'Determiner'), ('거', 'Noun'), ('빼곤', 'Verb'), ('만족', 'Noun'), ('입니다', 'Adjective'), ('잘', 'VerbPrefix'), ('먹었습니다', 'Verb')]","['날', '좀', '바삭', '거', '만족']",",너무",,",허니오리지,빼곤,먹었습니다",",맛있어여,입니다"
2021년 10월 29일,권선동,교촌치킨-매교점,ji**님,허니오리지날＋퐁듀치즈볼[6개]/1(사이드 메뉴(선택안함)),맛있어요 양도 많고 배달도 잘 해주셨어요~,5,5,5,https://rev-static.yogiyo.co.kr/21535bcb19f5de0dbba738bb14563a7c_tn.jpg,사장님 답글이 없어요 ,맛있어요 양도 많고 배달도 잘 해주셨어요,"['맛있어요', '양도', '많고', '배달', '도', '잘', '해주셨어요']","[('맛있어요', 'Adjective'), ('양도', 'Noun'), ('많고', 'Adjective'), ('배달', 'Noun'), ('도', 'Josa'), ('잘', 'Verb'), ('해주셨어요', 'Verb')]","['양도', '배달']",,,",잘,해주셨어요",",맛있어요,많고"
2021년 10월 29일,권선동,교촌치킨-매교점,d-**님,"교촌레허반반순살/1(사이드 메뉴(교촌샐러드（세트）,교촌고르곤치즈볼))",맛있어요 근데 다식어서 배달될만큼 오래걸려서,5,5,1,https://github.com/kuick1kim/01colap/raw/main/csv/no-image-found-360x250-1.png,사장님 답글이 없어요 ,맛있어요 근데 다식어서 배달될만큼 오래걸려서,"['맛있어요', '근데', '다식', '어', '서', '배달', '될만큼', '오래', '걸려서']","[('맛있어요', 'Adjective'), ('근데', 'Adverb'), ('다식', 'Noun'), ('어', 'Suffix'), ('서', 'Josa'), ('배달', 'Noun'), ('될만큼', 'Verb'), ('오래', 'Adverb'), ('걸려서', 'Verb')]","['다식', '배달']",",근데,오래",,",될만큼,걸려서",",맛있어요"
2021년 10월 29일,권선동,교촌치킨-매교점,lx**님,교촌레드콤보/1,맛있게잘먹었습니다.,5,5,3,https://rev-static.yogiyo.co.kr/d1f0dc375f343795404b665f0a921b8d_tn.jpg,사장님 답글이 없어요 ,맛있게잘먹었습니다,"['맛있게잘', '먹었습니다']","[('맛있게잘', 'Adjective'), ('먹었습니다', 'Verb')]",[],,,",먹었습니다",",맛있게잘"
2021년 10월 29일,권선동,교촌치킨-매교점,wl**님,허니오리지날＋퐁듀치즈볼[6개]/1,오랜만에 먹으니 맛있어요~굳!,5,5,5,https://rev-static.yogiyo.co.kr/71a18d741b018d528c910482913cef7f_tn.jpg,사장님 답글이 없어요 ,오랜만에 먹으니 맛있어요굳,"['오랜', '만', '에', '먹으니', '맛있어요', '굳']","[('오랜', 'Modifier'), ('만', 'Noun'), ('에', 'Josa'), ('먹으니', 'Verb'), ('맛있어요', 'Adjective'), ('굳', 'Adjective')]",['만'],,,",먹으니",",맛있어요,굳"
2021년 10월 28일,권선동,교촌치킨-매교점,zl**님,허니오리지날＋퐁듀치즈볼[6개]/1,이벤트참여 썼는데 355ml 콜라가 왔네요,4,3,3,https://rev-static.yogiyo.co.kr/1ef22ac8a154ab8a2ccb9588baca3cb4_tn.jpg,사장님 답글이 없어요 ,이벤트참여 썼는데  콜라가 왔네요,"['이벤트', '참여', '썼는데', '콜라', '가', '왔네요']","[('이벤트', 'Noun'), ('참여', 'Noun'), ('썼는데', 'Verb'), ('콜라', 'Noun'), ('가', 'Josa'), ('왔네요', 'Verb')]","['이벤트', '참여', '콜라']",,,",썼는데,왔네요",
