time,지역,가게이름,아이디,주문내용,댓글,맛,양,배달,사진주소,sajang,ko_text,token_review,tagging,Noun,Adverb,Number,Verb,Adjective
2021년 11월 05일,권선동,네네치킨-인계중앙점,sk**님,후라이드/1,넘넘 바삭하고 맛있어요~~배달도 빠르고 또 시킬게요~,5,5,5,https://rev-static.yogiyo.co.kr/b73bce96e237bb9131cc6e8b65ceb270_tn.jpg,사장님 답글이 없어요 ,넘넘 바삭하고 맛있어요배달도 빠르고 또 시킬게요,"['넘', '넘', '바삭', '하고', '맛있어요', '배달', '도', '빠르고', '또', '시킬게요']","[('넘', 'Verb'), ('넘', 'Verb'), ('바삭', 'Noun'), ('하고', 'Josa'), ('맛있어요', 'Adjective'), ('배달', 'Noun'), ('도', 'Josa'), ('빠르고', 'Adjective'), ('또', 'Noun'), ('시킬게요', 'Verb')]","['바삭', '배달', '또']",,,",넘,넘,시킬게요",",맛있어요,빠르고"
2021년 11월 05일,권선동,네네치킨-인계중앙점,jz**님,"순살 반반반/1(반마리 선택(순살네네마늘치킨반,순살쇼킹핫반,순살양념반))",배달도빠르고 맛있어요!기사님도 완전 친절해요:),5,5,5,https://github.com/kuick1kim/01colap/raw/main/csv/no-image-found-360x250-1.png,사장님 답글이 없어요 ,배달도빠르고 맛있어요기사님도 완전 친절해요,"['배달', '도', '빠르고', '맛있어요', '기사', '님', '도', '완전', '친절해요']","[('배달', 'Noun'), ('도', 'Josa'), ('빠르고', 'Adjective'), ('맛있어요', 'Adjective'), ('기사', 'Noun'), ('님', 'Suffix'), ('도', 'Josa'), ('완전', 'Noun'), ('친절해요', 'Adjective')]","['배달', '기사', '완전']",,,,",빠르고,맛있어요,친절해요"
2021년 10월 9일,권선동,네네치킨-인계중앙점,93**님,어니언스노윙치킨＋네네소떡/1,배달하시는 분이 너무 친절하게 전달해주셔서 기분좋게 받았습니다! 음식도 맛있었어요!!,5,5,5,https://rev-static.yogiyo.co.kr/17238394aac89038da4c66e97b25c3fb_tn.jpg,사장님 답글이 없어요 ,배달하시는 분이 너무 친절하게 전달해주셔서 기분좋게 받았습니다 음식도 맛있었어요,"['배달', '하시는', '분', '이', '너무', '친절하게', '전달', '해주셔서', '기분', '좋게', '받았습니다', '음식', '도', '맛있었어요']","[('배달', 'Noun'), ('하시는', 'Verb'), ('분', 'Noun'), ('이', 'Josa'), ('너무', 'Adverb'), ('친절하게', 'Adjective'), ('전달', 'Noun'), ('해주셔서', 'Verb'), ('기분', 'Noun'), ('좋게', 'Adjective'), ('받았습니다', 'Verb'), ('음식', 'Noun'), ('도', 'Josa'), ('맛있었어요', 'Adjective')]","['배달', '분', '전달', '기분', '음식']",",너무",,",하시는,해주셔서,받았습니다",",친절하게,좋게,맛있었어요"
2021년 10월 9일,권선동,네네치킨-인계중앙점,wo**님,청양마요치킨/1,배달도 빠르고 튀김옷도 너무 바삭바삭해서 맛있게 잘 먹었습니다ㅠㅠ! 치킨이 생각날 때 마다 시켜먹고 있어요ㅎㅎ,5,5,5,https://rev-static.yogiyo.co.kr/6470dafc129ce17a9a968d60aa8051df_tn.jpg,사장님 답글이 없어요 ,배달도 빠르고 튀김옷도 너무 바삭바삭해서 맛있게 잘 먹었습니다ㅠㅠ 치킨이 생각날 때 마다 시켜먹고 있어요ㅎㅎ,"['배달', '도', '빠르고', '튀김', '옷', '도', '너무', '바삭바삭해서', '맛있게', '잘', '먹었습니다', 'ㅠㅠ', '치킨', '이', '생각날', '때', '마다', '시켜', '먹고', '있어요', 'ㅎㅎ']","[('배달', 'Noun'), ('도', 'Josa'), ('빠르고', 'Adjective'), ('튀김', 'Noun'), ('옷', 'Noun'), ('도', 'Josa'), ('너무', 'Adverb'), ('바삭바삭해서', 'Adjective'), ('맛있게', 'Adjective'), ('잘', 'Verb'), ('먹었습니다', 'Verb'), ('ㅠㅠ', 'KoreanParticle'), ('치킨', 'Noun'), ('이', 'Josa'), ('생각날', 'Verb'), ('때', 'Noun'), ('마다', 'Noun'), ('시켜', 'Verb'), ('먹고', 'Verb'), ('있어요', 'Adjective'), ('ㅎㅎ', 'KoreanParticle')]","['배달', '튀김', '옷', '치킨', '때', '마다']",",너무",,",잘,먹었습니다,생각날,시켜,먹고",",빠르고,바삭바삭해서,맛있게,있어요"
2021년 10월 8일,권선동,네네치킨-인계중앙점,kc**님,순살청양마요치킨/1,먹는데 정신팔려서 사진을 못 찍었네요네네치킨하면 청양마요치킨이 유명해서매번 네네치킨에서는 청양마요만 시켜먹네요!!치킨도 바삭바삭하고 맛있었어요양파가 쓴 것 같아 문의드렸는데 친절하게 다시 가져다주셔서 감사해요다음에는 양파가 좀 달달했으면 좋겠네요 ~!,5,5,5,https://github.com/kuick1kim/01colap/raw/main/csv/no-image-found-360x250-1.png,사장님 답글이 없어요 ,먹는데 정신팔려서 사진을 못 찍었네요네네치킨하면 청양마요치킨이 유명해서매번 네네치킨에서는 청양마요만 시켜먹네요치킨도 바삭바삭하고 맛있었어요양파가 쓴 것 같아 문의드렸는데 친절하게 다시 가져다주셔서 감사해요다음에는 양파가 좀 달달했으면 좋겠네요 ,"['먹는데', '정신', '팔려서', '사진', '을', '못', '찍었네요', '네', '네', '치킨', '하', '면', '청양', '마', '요', '치킨', '이', '유명해서', '매번', '네', '네', '치킨', '에서는', '청양', '마', '요만', '시켜', '먹네요', '치킨', '도', '바삭바삭하고', '맛있었어요', '양파', '가', '쓴', '것', '같아', '문의', '드렸는데', '친절하게', '다시', '가져다주셔서', '감사해', '요다음', '에는', '양파', '가', '좀', '달달', '했으면', '좋겠네요']","[('먹는데', 'Verb'), ('정신', 'Noun'), ('팔려서', 'Verb'), ('사진', 'Noun'), ('을', 'Josa'), ('못', 'Noun'), ('찍었네요', 'Verb'), ('네', 'Determiner'), ('네', 'Modifier'), ('치킨', 'Noun'), ('하', 'Suffix'), ('면', 'Josa'), ('청양', 'Noun'), ('마', 'Noun'), ('요', 'Josa'), ('치킨', 'Noun'), ('이', 'Josa'), ('유명해서', 'Adjective'), ('매번', 'Noun'), ('네', 'Determiner'), ('네', 'Modifier'), ('치킨', 'Noun'), ('에서는', 'Josa'), ('청양', 'Noun'), ('마', 'Noun'), ('요만', 'Modifier'), ('시켜', 'Verb'), ('먹네요', 'Verb'), ('치킨', 'Noun'), ('도', 'Josa'), ('바삭바삭하고', 'Adjective'), ('맛있었어요', 'Adjective'), ('양파', 'Noun'), ('가', 'Josa'), ('쓴', 'Verb'), ('것', 'Noun'), ('같아', 'Adjective'), ('문의', 'Noun'), ('드렸는데', 'Verb'), ('친절하게', 'Adjective'), ('다시', 'Noun'), ('가져다주셔서', 'Verb'), ('감사해', 'Verb'), ('요다음', 'Noun'), ('에는', 'Josa'), ('양파', 'Noun'), ('가', 'Josa'), ('좀', 'Noun'), ('달달', 'Noun'), ('했으면', 'Verb'), ('좋겠네요', 'Adjective')]","['정신', '사진', '못', '치킨', '청양', '마', '치킨', '매번', '치킨', '청양', '마', '치킨', '양파', '것', '문의', '다시', '요다음', '양파', '좀', '달달']",,,",먹는데,팔려서,찍었네요,시켜,먹네요,쓴,드렸는데,가져다주셔서,감사해,했으면",",유명해서,바삭바삭하고,맛있었어요,같아,친절하게,좋겠네요"
2021년 10월 8일,권선동,네네치킨-인계중앙점,qw**님,"순살치즈스노윙/1(사이드 추가(네네미니핫도그,네네칩（포테이토칩）))",맛있었어요✧⁺⸜(･ ᗜ ･ )⸝⁺✧,5,5,5,https://github.com/kuick1kim/01colap/raw/main/csv/no-image-found-360x250-1.png,사장님 답글이 없어요 ,맛있었어요   ,['맛있었어요'],"[('맛있었어요', 'Adjective')]",[],,,,",맛있었어요"
2021년 10월 7일,권선동,네네치킨-인계중앙점,lo**님,"순살 반반/1(반마리 선택(순살오리엔탈파닭반,순살어니언스노윙반))",오랜만에 먹는데도 맛나요,5,5,5,https://rev-static.yogiyo.co.kr/37b86f301971968b57af4ae10b4fed76_tn.jpg,사장님 답글이 없어요 ,오랜만에 먹는데도 맛나요,"['오랜', '만', '에', '먹는데도', '맛', '나', '요']","[('오랜', 'Modifier'), ('만', 'Noun'), ('에', 'Josa'), ('먹는데도', 'Verb'), ('맛', 'Noun'), ('나', 'Josa'), ('요', 'Noun')]","['만', '맛', '요']",,,",먹는데도",
2021년 10월 6일,권선동,네네치킨-인계중앙점,rl**님,"순살 반반/1(반마리 선택(순살치즈스노윙반,순살양념반))",너무 맛있게 잘먹었습니다~,5,5,5,https://rev-static.yogiyo.co.kr/6cff331a0d81e0a4180a19d69f37bc92_tn.jpg,사장님 답글이 없어요 ,너무 맛있게 잘먹었습니다,"['너무', '맛있게', '잘', '먹었습니다']","[('너무', 'Adverb'), ('맛있게', 'Adjective'), ('잘', 'VerbPrefix'), ('먹었습니다', 'Verb')]",[],",너무",,",먹었습니다",",맛있게"
2021년 10월 6일,권선동,네네치킨-인계중앙점,lo**님,치즈스노윙/1,배달도 빠르고 치즈가루가 다른 곳들보다 많이 묻어있어서 치킨도 매우 맛있었습니다 계속 여기서 시켜먹으려구요,5,5,5,https://rev-static.yogiyo.co.kr/2adb489ed112b87fa4fb48f1c22ec1a4_tn.jpg,사장님 답글이 없어요 ,배달도 빠르고 치즈가루가 다른 곳들보다 많이 묻어있어서 치킨도 매우 맛있었습니다 계속 여기서 시켜먹으려구요,"['배달', '도', '빠르고', '치즈', '가루', '가', '다른', '곳', '들', '보다', '많이', '묻어있어서', '치킨', '도', '매우', '맛있었습니다', '계속', '여기', '서', '시켜', '먹으려', '구', '요']","[('배달', 'Noun'), ('도', 'Josa'), ('빠르고', 'Adjective'), ('치즈', 'Noun'), ('가루', 'Noun'), ('가', 'Josa'), ('다른', 'Noun'), ('곳', 'Noun'), ('들', 'Suffix'), ('보다', 'Josa'), ('많이', 'Adverb'), ('묻어있어서', 'Verb'), ('치킨', 'Noun'), ('도', 'Josa'), ('매우', 'Noun'), ('맛있었습니다', 'Adjective'), ('계속', 'Noun'), ('여기', 'Noun'), ('서', 'Josa'), ('시켜', 'Verb'), ('먹으려', 'Verb'), ('구', 'Noun'), ('요', 'Josa')]","['배달', '치즈', '가루', '다른', '곳', '치킨', '매우', '계속', '여기', '구']",",많이",,",묻어있어서,시켜,먹으려",",빠르고,맛있었습니다"
2021년 10월 6일,권선동,네네치킨-인계중앙점,yu**님,"순살 반반반/1(반마리 선택(순살후라이드반,순살어니언스노윙반,순살소이갈릭반))",보기에도 너무 아름다운 치킨이 정말 맛있네요. 비주얼도 맛도 치킨은 네네~~ 입니다. ㅎㅎㅎ,5,5,5,https://rev-static.yogiyo.co.kr/f40f79f3427c7b37d4dd28398e2bcfc4_tn.jpg,사장님 답글이 없어요 ,보기에도 너무 아름다운 치킨이 정말 맛있네요 비주얼도 맛도 치킨은 네네 입니다 ㅎㅎㅎ,"['보기', '에도', '너무', '아름다운', '치킨', '이', '정말', '맛있네요', '비주', '얼도', '맛', '도', '치킨', '은', '네네', '입니다', 'ㅎㅎㅎ']","[('보기', 'Noun'), ('에도', 'Josa'), ('너무', 'Adverb'), ('아름다운', 'Adjective'), ('치킨', 'Noun'), ('이', 'Josa'), ('정말', 'Noun'), ('맛있네요', 'Adjective'), ('비주', 'Noun'), ('얼도', 'Verb'), ('맛', 'Noun'), ('도', 'Josa'), ('치킨', 'Noun'), ('은', 'Josa'), ('네네', 'Noun'), ('입니다', 'Adjective'), ('ㅎㅎㅎ', 'KoreanParticle')]","['보기', '치킨', '정말', '비주', '맛', '치킨', '네네']",",너무",,",얼도",",아름다운,맛있네요,입니다"
