time,지역,가게이름,아이디,주문내용,댓글,맛,양,배달,사진주소,sajang,ko_text,token_review,tagging,Noun,Adverb,Number,Verb,Adjective
2021년 11월 02일,서초동,페리카나-서초동점,rp**님,양념 치킨/1,"치킨은 너무 맛잇는데 제발 배달 요청사항좀 지켜주세요. 자정이 다 되는 시간에 초인종 계속 누르고, 문 쾅쾅하셨죠? 일부러 문자만 해달라고 부탁드렸습니다.",5,5,1,이미지는 없어요,사장님 답글이 없어요 ,치킨은 너무 맛잇는데 제발 배달 요청사항좀 지켜주세요 자정이 다 되는 시간에 초인종 계속 누르고 문 쾅쾅하셨죠 일부러 문자만 해달라고 부탁드렸습니다,"['치킨', '은', '너무', '맛', '잇는데', '제발', '배달', '요청', '사항', '좀', '지켜주세요', '자정', '이', '다', '되는', '시간', '에', '초인종', '계속', '누르고', '문', '쾅쾅', '하셨죠', '일부러', '문자', '만', '해달라고', '부탁드렸습니다']","[('치킨', 'Noun'), ('은', 'Josa'), ('너무', 'Adverb'), ('맛', 'Noun'), ('잇는데', 'Verb'), ('제발', 'Noun'), ('배달', 'Noun'), ('요청', 'Noun'), ('사항', 'Noun'), ('좀', 'Noun'), ('지켜주세요', 'Verb'), ('자정', 'Noun'), ('이', 'Josa'), ('다', 'Adverb'), ('되는', 'Verb'), ('시간', 'Noun'), ('에', 'Josa'), ('초인종', 'Noun'), ('계속', 'Noun'), ('누르고', 'Verb'), ('문', 'Noun'), ('쾅쾅', 'Adverb'), ('하셨죠', 'Verb'), ('일부러', 'Noun'), ('문자', 'Noun'), ('만', 'Josa'), ('해달라고', 'Verb'), ('부탁드렸습니다', 'Adjective')]","['치킨', '맛', '제발', '배달', '요청', '사항', '좀', '자정', '시간', '초인종', '계속', '문', '일부러', '문자']",",너무,다,쾅쾅",,",잇는데,지켜주세요,되는,누르고,하셨죠,해달라고",",부탁드렸습니다"
2021년 11월 02일,서초동,페리카나-서초동점,gy**님,"순살양념 치킨/1(사이드 추가 선택(콜라 1.25L 변경)),츄러스치즈볼 5개/1",맛있어요 잘먹었습니다😀😀,5,5,5,https://rev-static.yogiyo.co.kr/c1d52f48b8475c4dd057ef588876e580_tn.jpg,사장님 답글이 없어요 ,맛있어요 잘먹었습니다,"['맛있어요', '잘', '먹었습니다']","[('맛있어요', 'Adjective'), ('잘', 'VerbPrefix'), ('먹었습니다', 'Verb')]",[],,,",먹었습니다",",맛있어요"
2021년 11월 02일,서초동,페리카나-서초동점,mi**님,반반（후라이드 반＋양념 반）/1(치킨 선택(순살 치킨)),페리카나 순살 한번 먹어보고 쭉 이것만 먹어요그리고 다른 지점에 비해 서초점이 특히 더 맛있습니다환상적인 튀김옷에 바삭바삭함이 정말 최고입니다,5,5,5,https://rev-static.yogiyo.co.kr/6721c0731636a42977eceb99c7380e91_tn.jpg,사장님 답글이 없어요 ,페리카나 순살 한번 먹어보고 쭉 이것만 먹어요그리고 다른 지점에 비해 서초점이 특히 더 맛있습니다환상적인 튀김옷에 바삭바삭함이 정말 최고입니다,"['페리', '카나', '순', '살', '한번', '먹어', '보고', '쭉', '이', '것', '만', '먹어요', '그리고', '다른', '지점', '에', '비해', '서', '초점', '이', '특히', '더', '맛있습니다', '환상', '적', '인', '튀김', '옷', '에', '바삭바삭함이', '정말', '최고', '입니다']","[('페리', 'Noun'), ('카나', 'Noun'), ('순', 'Modifier'), ('살', 'Noun'), ('한번', 'Noun'), ('먹어', 'Verb'), ('보고', 'Noun'), ('쭉', 'Noun'), ('이', 'Determiner'), ('것', 'Noun'), ('만', 'Josa'), ('먹어요', 'Verb'), ('그리고', 'Conjunction'), ('다른', 'Noun'), ('지점', 'Noun'), ('에', 'Josa'), ('비해', 'Verb'), ('서', 'Modifier'), ('초점', 'Noun'), ('이', 'Josa'), ('특히', 'Adverb'), ('더', 'Noun'), ('맛있습니다', 'Adjective'), ('환상', 'Noun'), ('적', 'Suffix'), ('인', 'Josa'), ('튀김', 'Noun'), ('옷', 'Noun'), ('에', 'Josa'), ('바삭바삭함이', 'Adjective'), ('정말', 'Noun'), ('최고', 'Noun'), ('입니다', 'Adjective')]","['페리', '카나', '살', '한번', '보고', '쭉', '것', '다른', '지점', '초점', '더', '환상', '튀김', '옷', '정말', '최고']",",특히",,",먹어,먹어요,비해",",맛있습니다,바삭바삭함이,입니다"
2021년 11월 02일,서초동,페리카나-서초동점,jn**님,반반（후라이드 반＋양념 반）/1(치킨 선택(순살 치킨)),배달비가 예전엔 2천원이었는데 3천으로 올랐네요...최애치킨인데 배달비가..,5,5,5,https://rev-static.yogiyo.co.kr/a9c3c33c319474032243b5ff35599bf9_tn.jpg,사장님 답글이 없어요 ,배달비가 예전엔 천원이었는데 천으로 올랐네요최애치킨인데 배달비가,"['배달', '비', '가', '예전', '엔', '천원', '이었는데', '천', '으로', '올랐네요', '최애', '치킨', '인데', '배달', '비', '가']","[('배달', 'Noun'), ('비', 'Noun'), ('가', 'Josa'), ('예전', 'Noun'), ('엔', 'Josa'), ('천원', 'Noun'), ('이었는데', 'Verb'), ('천', 'Noun'), ('으로', 'Josa'), ('올랐네요', 'Verb'), ('최애', 'Noun'), ('치킨', 'Noun'), ('인데', 'Josa'), ('배달', 'Noun'), ('비', 'Noun'), ('가', 'Josa')]","['배달', '비', '예전', '천원', '천', '최애', '치킨', '배달', '비']",,,",이었는데,올랐네요",
2021년 11월 02일,서초동,페리카나-서초동점,se**님,순살양념 치킨/1,ㅠㅠㅠㅠㅠㅠ 늘 맛있어요. 차암나. 맛있음을 항상 유지하는 거 진짜 어렵잖아요? 근데 여기 페리카나 앵념 순살은 늘 맛있음~~~~~~,5,5,5,https://rev-static.yogiyo.co.kr/6512890deb468496ef53e5cfa8b66596_tn.jpg,사장님 답글이 없어요 ,ㅠㅠㅠㅠㅠㅠ 늘 맛있어요 차암나 맛있음을 항상 유지하는 거 진짜 어렵잖아요 근데 여기 페리카나 앵념 순살은 늘 맛있음,"['ㅠㅠㅠㅠㅠㅠ', '늘', '맛있어요', '차암', '나', '맛있', '음', '을', '항상', '유지', '하는', '거', '진짜', '어렵잖아요', '근데', '여기', '페리', '카나', '앵념', '순', '살', '은', '늘', '맛있음']","[('ㅠㅠㅠㅠㅠㅠ', 'KoreanParticle'), ('늘', 'Noun'), ('맛있어요', 'Adjective'), ('차암', 'Noun'), ('나', 'Josa'), ('맛있', 'Adjective'), ('음', 'Noun'), ('을', 'Josa'), ('항상', 'Noun'), ('유지', 'Noun'), ('하는', 'Verb'), ('거', 'Noun'), ('진짜', 'Noun'), ('어렵잖아요', 'Adjective'), ('근데', 'Adverb'), ('여기', 'Noun'), ('페리', 'Noun'), ('카나', 'Noun'), ('앵념', 'Noun'), ('순', 'Modifier'), ('살', 'Noun'), ('은', 'Josa'), ('늘', 'Noun'), ('맛있음', 'Adjective')]","['늘', '차암', '음', '항상', '유지', '거', '진짜', '여기', '페리', '카나', '앵념', '살', '늘']",",근데",,",하는",",맛있어요,맛있,어렵잖아요,맛있음"
2021년 11월 02일,서초동,페리카나-서초동점,un**님,"순살양념 치킨/1,순살간장 치킨/1",너~~~~무 맛있어요! 감사히 잘 먹었습니다.,5,5,5,이미지는 없어요,사장님 답글이 없어요 ,너무 맛있어요 감사히 잘 먹었습니다,"['너무', '맛있어요', '감사히', '잘', '먹었습니다']","[('너무', 'Adverb'), ('맛있어요', 'Adjective'), ('감사히', 'Adverb'), ('잘', 'Verb'), ('먹었습니다', 'Verb')]",[],",너무,감사히",,",잘,먹었습니다",",맛있어요"
2021년 11월 02일,서초동,페리카나-서초동점,in**님,순살양념 치킨/1(사이드 추가 선택(페리치즈볼 5개 추가)),양념은 역시 페리카나네요.,5,5,5,이미지는 없어요,사장님 답글이 없어요 ,양념은 역시 페리카나네요,"['양념', '은', '역시', '페리', '카나', '네', '요']","[('양념', 'Noun'), ('은', 'Josa'), ('역시', 'Noun'), ('페리', 'Noun'), ('카나', 'Noun'), ('네', 'Suffix'), ('요', 'Josa')]","['양념', '역시', '페리', '카나']",,,,
2021년 11월 02일,서초동,페리카나-서초동점,ha**님,"반반（후라이드 반＋양념 반）/1(치킨 선택(순살 치킨),사이드 추가 선택(무 추가))",맛있어요~~~~!!!!,5,5,5,https://rev-static.yogiyo.co.kr/207f5b57403fffbdd1e5730ac412e05f_tn.jpg,사장님 답글이 없어요 ,맛있어요,['맛있어요'],"[('맛있어요', 'Adjective')]",[],,,,",맛있어요"
2021년 11월 02일,서초동,페리카나-서초동점,sh**님,양념 치킨/1,여윽시양념치킨은 ㅍㄹㅋㄴ,5,4,5,이미지는 없어요,사장님 답글이 없어요 ,여윽시양념치킨은 ㅍㄹㅋㄴ,"['여', '윽', '시', '양념치킨', '은', 'ㅍㄹㅋㄴ']","[('여', 'Modifier'), ('윽', 'Noun'), ('시', 'Modifier'), ('양념치킨', 'Noun'), ('은', 'Josa'), ('ㅍㄹㅋㄴ', 'KoreanParticle')]","['윽', '양념치킨']",,,,
2021년 11월 02일,서초동,페리카나-서초동점,ti**님,반반（후라이드 반＋양념 반）/1(치킨 선택(순살 치킨)),맛있게 잘 먹었습니다.,5,5,5,https://rev-static.yogiyo.co.kr/7b297755609eb2687034c934883f7d79_tn.jpg,사장님 답글이 없어요 ,맛있게 잘 먹었습니다,"['맛있게', '잘', '먹었습니다']","[('맛있게', 'Adjective'), ('잘', 'Verb'), ('먹었습니다', 'Verb')]",[],,,",잘,먹었습니다",",맛있게"
2021년 11월 02일,서초동,페리카나-서초동점,ep**님,반반（후라이드 반＋양념 반）/1(치킨 선택(뼈있는 치킨)),맛있게 잘 먹었습니다.,5,5,5,https://rev-static.yogiyo.co.kr/47730ec837729496b6d065851a4a7035_tn.jpg,사장님 답글이 없어요 ,맛있게 잘 먹었습니다,"['맛있게', '잘', '먹었습니다']","[('맛있게', 'Adjective'), ('잘', 'Verb'), ('먹었습니다', 'Verb')]",[],,,",잘,먹었습니다",",맛있게"
2021년 11월 02일,서초동,페리카나-서초동점,ko**님,B세트（후라이드＋양념치킨＋콜라 1.25L）/1,항상 변하지 않는 페리카나자주 먹어도 맛있네요.번창하세요,5,5,5,이미지는 없어요,사장님 답글이 없어요 ,항상 변하지 않는 페리카나자주 먹어도 맛있네요번창하세요,"['항상', '변하지', '않는', '페리', '카나', '자주', '먹어도', '맛있네요', '번창', '하세요']","[('항상', 'Noun'), ('변하지', 'Adjective'), ('않는', 'Verb'), ('페리', 'Noun'), ('카나', 'Noun'), ('자주', 'Noun'), ('먹어도', 'Verb'), ('맛있네요', 'Adjective'), ('번창', 'Noun'), ('하세요', 'Verb')]","['항상', '페리', '카나', '자주', '번창']",,,",않는,먹어도,하세요",",변하지,맛있네요"
