크롤링시간,지역,가게이름,아이디,몇시간전,주문내용,댓글,맛,양,배달,사장,사진주소
어제,서초동,컬투치킨-서초1호점,ba**님,어제,"감자바사삭치킨＋케이준감자/1(맛 선택(매콤（매후라）),부위변경(뼈))",맛있었어요 또 주문할게요!!!,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2일 전,서초동,컬투치킨-서초1호점,hy**님,2일 전,매후라치킨/1(치킨 종류 추가 선택(변경 안함)),맛있엉ㅅㄹ~!~!~!~!,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
3일 전,서초동,컬투치킨-서초1호점,lk**님,3일 전,"화끈화닭치킨/1(치킨 종류 추가 선택(순살 변경),음료 추가 선택(음료 사이즈업（1.25 변경）)),새우튀김/1",스트레스 풀려고 주문했어요~~화끈하고 넘 맛있네요 ~~치즈볼도 달콤쫀득~~새우튀김 맛도.좋구요~~,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/406ad409c0f68bed9133b70c39685a3a_tn.jpg
3일 전,서초동,컬투치킨-서초1호점,ar**님,3일 전,매후라치킨/1(치킨 종류 추가 선택(변경 안함)),치킨이 따뜻하다못해 뜨거웠네요 아주 맛있게  잘먹었습니다,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/1ba49e2b17cb903a10e878f7386cf1d0_tn.jpg
3일 전,서초동,컬투치킨-서초1호점,id**님,3일 전,마후라반반치킨/1(치킨 종류 추가 선택(변경 안함)),맛있게 잘 먹었습니다. 리뷰이벤트 감튀는 좀 더 좋은거 쓰셔도 좋을 것 같아요.,4,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/f7ac300be12ebffad89f2aabfa80b2e0_tn.jpg
4일 전,서초동,컬투치킨-서초1호점,cj**님,4일 전,마후라치킨/1(치킨 종류 추가 선택(변경 안함)),행사라 싸게먹었네여,4,4,4,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/02305ff969175153ad258b1d17dca568_tn.jpg
4일 전,서초동,컬투치킨-서초1호점,th**님,4일 전,매후라치킨/1(치킨 종류 추가 선택(변경 안함)),컬투치킨 처음 먹어보는데 맛있네용~~~~다음에 또 시켜먹을게요!!!,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/b12f1bfc4d0d20e764447a130130d503_tn.jpg
4일 전,서초동,컬투치킨-서초1호점,wo**님,4일 전,"세트1（치킨 반＋탕수육 반）/1(치킨 종류 추가 선택(순살 변경),치킨 선택(어니언크림새우치킨),탕수육 선택(오리지널탕수육))",양도 적당하고 맛있었어요~!!,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/cc134ead87c7bafb12ceede7904829e4_tn.jpg
4일 전,서초동,컬투치킨-서초1호점,sh**님,4일 전,매후라치킨/1(치킨 종류 추가 선택(변경 안함)),맛있습니다 추천해요,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/259d25f73b7da65af5d401246acc734e_tn.jpg
4일 전,서초동,컬투치킨-서초1호점,kw**님,4일 전,매후라치킨/1(치킨 종류 추가 선택(순살 변경)),순살인데 뼈가 하나 있네요 ㅠ,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/1a909dd28255072db210ec6dbd08c6e1_tn.jpg
4일 전,서초동,컬투치킨-서초1호점,km**님,4일 전,매후라치킨/1(치킨 종류 추가 선택(변경 안함)),넘맛있어요오오오오오 또 주문해야징 사장님 번창하세용,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/29ab8c099da7c821080f1651460a4391_tn.jpg
4일 전,서초동,컬투치킨-서초1호점,no**님,4일 전,칠리새우탕수치킨/1(치킨 종류 추가 선택(순살 변경)),행사중이라서 그런지 한시간쯤 걸렸고 미리 고지받아서 괜찮았어요. 양념도 맛있었고 치킨도 맛있었어요. 다만 지난번엔 새우도 크고 많이 들어있었는데 오늘은 작은걸로 서너개 들어있어서 이 부분이 조금 아쉬웠어요. 😢 그래도 맛있게 먹었습니다.,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/40e21d6e7faf45c665778f3a400cc910_tn.jpg
4일 전,서초동,컬투치킨-서초1호점,da**님,4일 전,매후라양념치킨/1(치킨 종류 추가 선택(순살 변경)),처음 먹어보는데새콤달콤한 옛날 치킨 맛이라 너무 좋았어요...!!!맛있게 잘 먹었습니다~,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/42a292cc11887b006fbfd72c628b4438_tn.jpg
4일 전,서초동,컬투치킨-서초1호점,jh**님,4일 전,매후라치킨/1(치킨 종류 추가 선택(변경 안함)),매주 먹는데 이번에 특히 더 맛있네요,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/ba4142e0c2716e76826eeb093c6ffa61_tn.jpg
4일 전,서초동,컬투치킨-서초1호점,jh**님,4일 전,칠리새우탕수치킨/1(치킨 종류 추가 선택(순살 변경)),매주 먹는데 너무 맛있어요,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/882359dfe6c9e4e305c67cba9f5ed7ad_tn.jpg
4일 전,서초동,컬투치킨-서초1호점,dl**님,4일 전,매후라치킨/1(치킨 종류 추가 선택(변경 안함)),저는 치킨은 무조건 이 집에서만 시켜먹어요,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/acccf3633a95b5a306e7fbc7763e9d3b_tn.jpg
4일 전,서초동,컬투치킨-서초1호점,rn**님,4일 전,마후라반반치킨/1(치킨 종류 추가 선택(변경 안함)),컬투치킨 처음 시켜봤는데 맛 괜찮네요,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/c21432a5781c8ed00fb7d50fb0be5171_tn.jpg
4일 전,서초동,컬투치킨-서초1호점,dy**님,4일 전,메후라반반치킨/1(치킨 종류 추가 선택(변경 안함)),잘먹었습니다 ~~~,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/c873f6b77e5e91b5d0dbaefff6821e4f_tn.jpg
4일 전,서초동,컬투치킨-서초1호점,wj**님,4일 전,"감자바사삭치킨＋치즈볼（5개）/1(치킨 종류 추가 선택(변경 안함),맛 선택(매콤（매후라）),부위변경(윙봉변경))",윙봉먹고싶엇는데 품절되서 아쉽네여..,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/544514c2dab052a5fb4f5a904407dccf_tn.jpg
4일 전,서초동,컬투치킨-서초1호점,an**님,4일 전,메후라반반치킨/1(치킨 종류 추가 선택(변경 안함)),양념 맛 최고입니다!!,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/7dfff5e743bd48d83f24e7227e8295f7_tn.jpg
4일 전,서초동,컬투치킨-서초1호점,pr**님,4일 전,"간장마요치킨/1(치킨 종류 추가 선택(순살 변경),음료 추가 선택(음료 사이즈업（1.25 변경）))",잘 먹었습니다.,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/543c672744fd44cc7e741181fd51f6f7_tn.jpg
4일 전,서초동,컬투치킨-서초1호점,ry**님,4일 전,간장마요치킨/1(치킨 종류 추가 선택(변경 안함)),"간장마요를 시켰는데 간장양념이 몇방울 밖에 안들어갔는지, 후라이드에 마요네즈 뿌려놓은것과 다를바 없었습니다. 예전에 다른곳에서 먹었을때 너무 인상깊었어서 다시 시켜보았는데, 아주 실망스럽습니다. 화가 날 정도에요. 짜증나네요, 결국 2조각 먹고 다 버렸습니다 개선되지 않으면 다시는 시킬일 없겠습니다",1,4,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/30ca75e91434cd9639a7f8a83dbe0ea7_tn.jpg
4일 전,서초동,컬투치킨-서초1호점,99**님,4일 전,메후라반반치킨/1(치킨 종류 추가 선택(변경 안함)),"오늘도 성공, 역시 맛있었습니다 추천!",5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
4일 전,서초동,컬투치킨-서초1호점,qx**님,4일 전,마후라반반치킨/1(치킨 종류 추가 선택(순살 변경)),가격도 착한데 깔끔하고 넘맛있네요 굿굿,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
4일 전,서초동,컬투치킨-서초1호점,rk**님,4일 전,컬투치킨/1(치킨 종류 추가 선택(변경 안함)),맛있게 잘먹었습니다.,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/efe02e62b348766e918d9ae74f6caa7d_tn.jpg
4일 전,서초동,컬투치킨-서초1호점,mo**님,4일 전,마후라양념치킨/1(치킨 종류 추가 선택(순살 변경)),치킨은 컬투가  가성비 제일좋음,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/0b7c72bd13d16321bf0a8a1e2bc604d2_tn.jpg
4일 전,서초동,컬투치킨-서초1호점,sk**님,4일 전,"감자바사삭치킨＋페스츄리핫도그/1(맛 선택(매콤（매후라）),부위변경(뼈)),안녕핫새우＋케이준감자/1(부위변경(뼈),새우 선택(더블（새우15개）))",감자튀김 양 많아요. 핫도그 치즈볼 맛있구요.치킨도 굿,4,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/1c98f56a695b3d7b2f8de69d11170c25_tn.jpg
5일 전,서초동,컬투치킨-서초1호점,ic**님,5일 전,마후라치킨/1(치킨 종류 추가 선택(순살 변경)),전에도 주문했고 또 주문해서 먹는 컬투치킨 무난하게 먹을만합니다 솔직히 후라이드는 비슷비슷해서 크게 차이는 나진않고 저렴하고 맛있어서 종종 시켜먹습니다,4,4,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/757d7794a51042923e43d44f6c33f349_tn.jpg
5일 전,서초동,컬투치킨-서초1호점,cr**님,5일 전,마후라치킨/1(치킨 종류 추가 선택(변경 안함)),염지도 딱 좋고 너무 느끼하지 않고 배달도 빠르게 와서 바삭바삭하게 잘먹었어요!,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/e07a88e627354fc3ef6ed1db41a96429_tn.jpg
5일 전,서초동,컬투치킨-서초1호점,di**님,5일 전,칠리새우탕수치킨/1(치킨 종류 추가 선택(변경 안함)),너무너무맛있습니다~!!닭이재료가넘좋은거로쓰시는지육질이넘부드럽고튀김옷도바삭바삭넘맛나게잘조리해주셨어요~여태먹은치킨중가장깨끗하고건강한맛있는한끼였어요~~~!!짱짱,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/da4671082fc76628740f07d448cb3195_tn.jpg
5일 전,서초동,컬투치킨-서초1호점,ki**님,5일 전,마후라치킨/1(치킨 종류 추가 선택(변경 안함)),맛있어요 서비스 감자도 굿!,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/651de6c9acc258ee5339c20989cee6c5_tn.jpg
5일 전,서초동,컬투치킨-서초1호점,co**님,5일 전,마후라양념치킨/1(치킨 종류 추가 선택(변경 안함)),좋아요. 맛있어요~~~♡ 항상 주문대로 잘 해주세요.^^ 배달도 친절해요.,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/ccaef71bbf51a4a3fa289e3242357bc3_tn.jpg
5일 전,서초동,컬투치킨-서초1호점,sp**님,5일 전,매후라치킨/1(치킨 종류 추가 선택(순살 변경)),언제 먹어도 맛있어요.,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/c5929ae2c430533e08454ffcaa381750_tn.jpg
6일 전,서초동,컬투치킨-서초1호점,to**님,6일 전,매후라치킨/1(치킨 종류 추가 선택(변경 안함)),후라이드 최고고고👍👍👍👍👍,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/4f3b09577e3352be4db577896ad150f8_tn.jpg
6일 전,서초동,컬투치킨-서초1호점,10**님,6일 전,마후라양념치킨/1(치킨 종류 추가 선택(변경 안함)),배달 진짜 빠르고 맛있어요~겉바 는 아니지만 촉촉하고 육즙가득!,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/e511282f0347e2505e55b08c217f34d0_tn.jpg
6일 전,서초동,컬투치킨-서초1호점,sk**님,6일 전,매후라치킨/1(치킨 종류 추가 선택(변경 안함)),일단 매콤하지도 않고 걍 후라이드가 온거같네요. 배달출발했다고 톡오고 30분이 넘어도 도착안하고 예상시간지나도 안와서 전화했더니 배달 세개를 같이 갖고 나가서 늦는다고 하며 죄송하다고는 안함. 행사라서 어쩔수 없다함. 배달 출발한지 40분지나서 도착 다 식고 눅눅하고 맛도 없고 완전 짜증남.,1,1,1,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/ec8c316a607e842497e96d78894631ec_tn.jpg
일주일 전,서초동,컬투치킨-서초1호점,sh**님,일주일 전,"마후라양념치킨/1(치킨 종류 추가 선택(순살 변경)),감자바사삭치킨＋케이준감자/1(맛 선택(마일드（마후라）),부위변경(순살변경))",감자도 엄청 많이주시궁치킨 양도 엄청 많았어용!! 맛있어용,4,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
일주일 전,서초동,컬투치킨-서초1호점,ji**님,일주일 전,매후라치킨/1(치킨 종류 추가 선택(변경 안함)),처음시켜 봤는데 완전 만족이요!일단 어떤 닭으로 튀겼는지 정보가 있어서 좋네요닭도 커요! 특히 지가 가장 좋아하는 목이 제대로 있어서 좋았어요,4,4,4,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/387546b6f4dc622da997776fc82155f2_tn.jpg
2021년 11월 3일,서초동,컬투치킨-서초1호점,nu**님,2021년 11월 3일,매후라치킨/1(치킨 종류 추가 선택(순살 변경)),맛있어요 감사합니다,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/39f3131ab1e7f19c31f22b743ca83ae7_tn.jpg
2021년 11월 2일,서초동,컬투치킨-서초1호점,rl**님,2021년 11월 2일,"매후라치킨/1(치킨 종류 추가 선택(순살 변경),추가 선택(치킨무 추가))",맛있게 잘 먹었습니다~,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/92ebd48be53351b5ea5f3777d203810c_tn.jpg
2021년 11월 2일,서초동,컬투치킨-서초1호점,of**님,2021년 11월 2일,매후라치킨/1(치킨 종류 추가 선택(변경 안함)),항상 꿀맛입니다 ~ 갓성비최고,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/8f4ebdd5e0fe22f98488da18d4d582a9_tn.jpg
2021년 11월 1일,서초동,컬투치킨-서초1호점,vk**님,2021년 11월 1일,간장마요치킨/1(치킨 종류 추가 선택(변경 안함)),묵을 만 하네ㅋㅋㅋ,4,4,4,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/7cdc18b393e88810221aca63030dd19c_tn.jpg
2021년 11월 1일,서초동,컬투치킨-서초1호점,kw**님,2021년 11월 1일,"매후라치킨/1(치킨 종류 추가 선택(순살 변경),음료 추가 선택(음료 사이즈업（1.25 변경）))",맛있게 잘 먹었습니다~ 배달 문지가 살짝 있었는데 바로 대처해주셔서 감사합니다!!,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 11월 1일,서초동,컬투치킨-서초1호점,pr**님,2021년 11월 1일,마후라치킨/1(치킨 종류 추가 선택(순살 변경)),맛있게 잘 먹었습니다 추천요~~~,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/1444e8ac219c1317c0711a651ccef8df_tn.jpg
