크롤링시간,지역,가게이름,아이디,몇시간전,주문내용,댓글,맛,양,배달,사장,사진주소
15시간 전,서초동,페리카나-서초동점,rp**님,15시간 전,양념 치킨/1,"치킨은 너무 맛잇는데 제발 배달 요청사항좀 지켜주세요. 자정이 다 되는 시간에 초인종 계속 누르고, 문 쾅쾅하셨죠? 일부러 문자만 해달라고 부탁드렸습니다.",5,5,1,----사장님 답글이 없어요 ----,이미지는 없어요
20시간 전,서초동,페리카나-서초동점,gy**님,20시간 전,"순살양념 치킨/1(사이드 추가 선택(콜라 1.25L 변경)),츄러스치즈볼 5개/1",맛있어요 잘먹었습니다😀😀,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/c1d52f48b8475c4dd057ef588876e580_tn.jpg
어제,서초동,페리카나-서초동점,mi**님,어제,반반（후라이드 반＋양념 반）/1(치킨 선택(순살 치킨)),페리카나 순살 한번 먹어보고 쭉 이것만 먹어요그리고 다른 지점에 비해 서초점이 특히 더 맛있습니다환상적인 튀김옷에 바삭바삭함이 정말 최고입니다,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/6721c0731636a42977eceb99c7380e91_tn.jpg
4일 전,서초동,페리카나-서초동점,jn**님,4일 전,반반（후라이드 반＋양념 반）/1(치킨 선택(순살 치킨)),배달비가 예전엔 2천원이었는데 3천으로 올랐네요...최애치킨인데 배달비가..,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/a9c3c33c319474032243b5ff35599bf9_tn.jpg
2021년 10월 26일,서초동,페리카나-서초동점,se**님,2021년 10월 26일,순살양념 치킨/1,ㅠㅠㅠㅠㅠㅠ 늘 맛있어요. 차암나. 맛있음을 항상 유지하는 거 진짜 어렵잖아요? 근데 여기 페리카나 앵념 순살은 늘 맛있음~~~~~~,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/6512890deb468496ef53e5cfa8b66596_tn.jpg
2021년 10월 17일,서초동,페리카나-서초동점,un**님,2021년 10월 17일,"순살양념 치킨/1,순살간장 치킨/1",너~~~~무 맛있어요! 감사히 잘 먹었습니다.,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 10월 10일,서초동,페리카나-서초동점,in**님,2021년 10월 10일,순살양념 치킨/1(사이드 추가 선택(페리치즈볼 5개 추가)),양념은 역시 페리카나네요.,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 10월 10일,서초동,페리카나-서초동점,ha**님,2021년 10월 10일,"반반（후라이드 반＋양념 반）/1(치킨 선택(순살 치킨),사이드 추가 선택(무 추가))",맛있어요~~~~!!!!,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/207f5b57403fffbdd1e5730ac412e05f_tn.jpg
2021년 10월 9일,서초동,페리카나-서초동점,sh**님,2021년 10월 9일,양념 치킨/1,여윽시양념치킨은 ㅍㄹㅋㄴ,5,4,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 10월 9일,서초동,페리카나-서초동점,ti**님,2021년 10월 9일,반반（후라이드 반＋양념 반）/1(치킨 선택(순살 치킨)),맛있게 잘 먹었습니다.,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/7b297755609eb2687034c934883f7d79_tn.jpg
2021년 10월 8일,서초동,페리카나-서초동점,ep**님,2021년 10월 8일,반반（후라이드 반＋양념 반）/1(치킨 선택(뼈있는 치킨)),맛있게 잘 먹었습니다.,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/47730ec837729496b6d065851a4a7035_tn.jpg
2021년 10월 8일,서초동,페리카나-서초동점,ko**님,2021년 10월 8일,B세트（후라이드＋양념치킨＋콜라 1.25L）/1,항상 변하지 않는 페리카나자주 먹어도 맛있네요.번창하세요,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
