크롤링시간,지역,가게이름,아이디,몇시간전,주문내용,댓글,맛,양,배달,사장,사진주소
18시간 전,권선동,교촌치킨-매교점,lx**님,18시간 전,,맛있게 잘 먹었습니다.,4,4,5,----사장님 답글이 없어요 ----,이미지는 없어요
19시간 전,권선동,교촌치킨-매교점,jj**님,19시간 전,교촌허니콤보/1(디핑소스 추가(레드디핑소스)),맛있게 잘 먹었습니다,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
22시간 전,권선동,교촌치킨-매교점,ls**님,22시간 전,,치즈볼 맛있네요맛있게 잘먹었습니다 ^^,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/1def7f27edd7cf47f0fba1e877b8dcb4_tn.jpg
어제,권선동,교촌치킨-매교점,tj**님,어제,,맛있습니다. 잘먹었습니다.,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/5c84ec72d60abad5d775ac9f6f28eb79_tn.jpg
어제,권선동,교촌치킨-매교점,ke**님,어제,"교촌레드순살[R]/1,교촌웨지감자/1",예상배달시간보다17분 늦었고.치킨은 식어있어서 속상합니다.하지만 맛은 있어요.,4,4,1,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/a266dedc2827938804f5ebc299b26fbc_tn.jpg
어제,권선동,교촌치킨-매교점,wl**님,어제,"교촌레드오리지날/1(사이드 메뉴(선택안함)),교촌웨지감자/1",맛있게 잘 먹었습니다 감사합니다~,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/86f10a5c5883c7289cf875eaa345b26e_tn.jpg
2일 전,권선동,교촌치킨-매교점,my**님,2일 전,교촌레드콤보/1,"너무 맛있었으나 매장 출발시간과 다르게 너무 늦고, 치킨이 다식음 근데 맛잇음",5,5,1,----사장님 답글이 없어요 ----,이미지는 없어요
2일 전,권선동,교촌치킨-매교점,ps**님,2일 전,허니오리지날＋퐁듀치즈볼[6개]/1,맛나게아이와먹었습니다감사해요,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2일 전,권선동,교촌치킨-매교점,mo**님,2일 전,반반오리지날＋퐁듀치즈볼[6개]/1,너무맛있게잘먹었습니다,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2일 전,권선동,교촌치킨-매교점,km**님,2일 전,교촌허니콤보/1,"오랜만에 시켜 먹어본 허니콤보였는데, 역시는 역시. 맛있네요",5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2일 전,권선동,교촌치킨-매교점,ka**님,2일 전,허니오리지날＋퐁듀치즈볼[6개]/1,허니오리지날 맛있어용~~!,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/da2543b6c23f8ad64a09cad7c85791c6_tn.jpg
2일 전,권선동,교촌치킨-매교점,el**님,2일 전,발사믹치킨/1,"간장소스 치킨 이랑 비슷한 맛 같아요먹을만은한데 소스는 내취향은 아닌것같아서 소스없이 먹었네요교촌은 역시 레드!배달은 비대면했더니 문앞에두고 문자도없고, 벨도안눌러주고 밖에 15분이상 있었네요배달온지도 모르고 너무안와서 열어보니 앞에있더라는...다 식음",5,5,1,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/48e55e6c23b52c431cdd0995511296f1_tn.jpg
3일 전,권선동,교촌치킨-매교점,eh**님,3일 전,교촌허니콤보/1(사이드 메뉴(선택안함)),역시 교촌은 허니콤보 👍 매교역 이집이 맛집이네요 다음에 또먹을게요,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
3일 전,권선동,교촌치킨-매교점,pa**님,3일 전,발사믹치킨/1(디핑소스 추가(레드디핑소스)),맛나요요최고에오요요용,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/e77ec8c292d77a393b624cff2f3ced4e_tn.jpg
3일 전,권선동,교촌치킨-매교점,mu**님,3일 전,레드오리지날＋퐁듀치즈볼[6개]/1,배달 빠르고 일찍 받게 신경 써주셔서 너무 감사해요,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
3일 전,권선동,교촌치킨-매교점,eh**님,3일 전,교촌허니콤보/1(사이드 메뉴(교촌궁중닭갈비볶음밥（간장맛）)),이맛 모르는 사람은 치킨을 말할 자격이 없다.,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
3일 전,권선동,교촌치킨-매교점,90**님,3일 전,허니오리지날＋퐁듀치즈볼[6개]/1(사이드 메뉴(선택안함)),진짜 맛있었습니다 강추!!,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
3일 전,권선동,교촌치킨-매교점,wl**님,3일 전,교촌레허반반순살/1(사이드 메뉴(교촌칠리포테이토)),사진을못찍었지만 존맛탱,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
4일 전,권선동,교촌치킨-매교점,yi**님,4일 전,"교촌허니콤보/1(사이드 메뉴(교촌퐁듀치즈볼),디핑소스 추가(레드디핑소스)),레드디핑소스/1",역시 교촌 허니콤보는 진리ㅠㅠ,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/fdd42431d07e7c36064ed97d67741097_tn.jpg
4일 전,권선동,교촌치킨-매교점,xl**님,4일 전,교촌레드윙/1,매주먹는듯해요 진짜맛있어요!'ㅜㅜ,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/e706b20ff0474e8967ba18151d58e916_tn.jpg
4일 전,권선동,교촌치킨-매교점,dk**님,4일 전,교촌허니콤보/1,ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
4일 전,권선동,교촌치킨-매교점,qk**님,4일 전,발사믹치킨/1,배달도 빠르고 잘 먹었습니다,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/f2f533ed18dfe430a738f688f6adddf6_tn.jpg
4일 전,권선동,교촌치킨-매교점,12**님,4일 전,교촌오리지날＋퐁듀치즈볼[6개]/1,맛있게잘먹겠습니다.,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/dc922019622f47a43d7e13ae962384dd_tn.jpg
4일 전,권선동,교촌치킨-매교점,kh**님,4일 전,시그니처세트/1,최고 메뉴 세가지가 다 있어서 좋습니다,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/723374dc87564b49e459275278dd2167_tn.jpg
4일 전,권선동,교촌치킨-매교점,dr**님,4일 전,"교촌오리지날＋퐁듀치즈볼[6개]/1,허니오리지날＋퐁듀치즈볼[6개]/1",맛있어여 허니오리지날중 좀 너무 바삭한거빼곤만족입니다. 잘먹었습니다.,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
5일 전,권선동,교촌치킨-매교점,ji**님,5일 전,허니오리지날＋퐁듀치즈볼[6개]/1(사이드 메뉴(선택안함)),맛있어요 양도 많고 배달도 잘 해주셨어요~,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/21535bcb19f5de0dbba738bb14563a7c_tn.jpg
5일 전,권선동,교촌치킨-매교점,d-**님,5일 전,"교촌레허반반순살/1(사이드 메뉴(교촌샐러드（세트）,교촌고르곤치즈볼))",맛있어요 근데 다식어서 배달될만큼 오래걸려서,5,5,1,----사장님 답글이 없어요 ----,이미지는 없어요
5일 전,권선동,교촌치킨-매교점,lx**님,5일 전,교촌레드콤보/1,맛있게잘먹었습니다.,5,5,3,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/d1f0dc375f343795404b665f0a921b8d_tn.jpg
5일 전,권선동,교촌치킨-매교점,wl**님,5일 전,허니오리지날＋퐁듀치즈볼[6개]/1,오랜만에 먹으니 맛있어요~굳!,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/71a18d741b018d528c910482913cef7f_tn.jpg
6일 전,권선동,교촌치킨-매교점,zl**님,6일 전,허니오리지날＋퐁듀치즈볼[6개]/1,이벤트참여 썼는데 355ml 콜라가 왔네요,4,3,3,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/1ef22ac8a154ab8a2ccb9588baca3cb4_tn.jpg
6일 전,권선동,교촌치킨-매교점,on**님,6일 전,교촌허니콤보/1,너무 맛있게 잘먹었습니당,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/65407a656dc690df3d21cb69f88ba07b_tn.jpg
6일 전,권선동,교촌치킨-매교점,rl**님,6일 전,교촌허니콤보/1(디핑소스 추가(레드디핑소스)),너무 맛있어요 역시,5,4,4,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/446a603b6fb9d625c642c88f24dcc699_tn.jpg
6일 전,권선동,교촌치킨-매교점,qk**님,6일 전,반반오리지날＋퐁듀치즈볼[6개]/1,배달도 빠르고 잘 먹었습니다,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/744882ec69ae2edb0a842e937a4f6cc6_tn.jpg
6일 전,권선동,교촌치킨-매교점,ky**님,6일 전,허니오리지날＋퐁듀치즈볼[6개]/1,점심으로 맛있개 잘 먹었어요!!치즈볼 처음 먹어보는데 맛있네요,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/cf50016141c50e6cae2a16489f712037_tn.jpg
일주일 전,권선동,교촌치킨-매교점,xl**님,일주일 전,"교촌레드윙/1,코카콜라（1.25L）/1",여기교촌이 진심 젤 맛있어요♥,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/6500c3c65a1754980424c5af5e989d0d_tn.jpg
일주일 전,권선동,교촌치킨-매교점,kr**님,일주일 전,교촌허니콤보/1,교촌중에 교촌~!!!,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 10월 26일,권선동,교촌치킨-매교점,94**님,2021년 10월 26일,발사믹치킨/1(디핑소스 추가(레드디핑소스)),대박 맛있어요  양념같은것도 많이 발라져 있고 바삭하고 최고입니다!!!,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/dbc6154370f1d45ff55c6edada281569_tn.jpg
2021년 10월 26일,권선동,교촌치킨-매교점,kh**님,2021년 10월 26일,리얼후라이드＋퐁듀치즈볼[6개]/1(사이드 메뉴(선택안함)),리얼후라이드 첨 먹어보는데 괜찮네요,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/b9c232a74696c34369db1933f10e0999_tn.jpg
2021년 10월 25일,권선동,교촌치킨-매교점,hy**님,2021년 10월 25일,시그니처순살세트/1(사이드 메뉴(선택안함)),배달도 빠르고 맛있어요~!,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 10월 25일,권선동,교촌치킨-매교점,od**님,2021년 10월 25일,발사믹치킨/1,너무 맛있고 빠르고 사장님도친절하셔요 ㅎㅎ감사합니다,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/bd48de29c933821e3ac5ab5c6c433356_tn.jpg
2021년 10월 25일,권선동,교촌치킨-매교점,tj**님,2021년 10월 25일,허니오리지날＋퐁듀치즈볼[6개]/1(사이드 메뉴(선택안함)),역시 허니시리즈가 최고네요. 잘 먹었습니다.,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/436806fb594c4762e220cd070cbc58d8_tn.jpg
2021년 10월 24일,권선동,교촌치킨-매교점,hy**님,2021년 10월 24일,"교촌리얼후라이드/1(디핑소스 추가(레드디핑소스)),교촌레드윙/1","오늘도 어김없이 배송,친절굿~품질짱~",5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/4cecd13750e968338e0196a255515e3d_tn.jpg
2021년 10월 24일,권선동,교촌치킨-매교점,ju**님,2021년 10월 24일,교촌반반윙/1,맛나네요퍽퍽한 달가슴살 싫어하는분은 좋아할듯요매콤 양념 맛 있네요,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 10월 22일,권선동,교촌치킨-매교점,yo**님,2021년 10월 22일,교촌반반콤보/1,배달빠르고 맛있게 먹었습니다,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 10월 22일,권선동,교촌치킨-매교점,hu**님,2021년 10월 22일,"교촌반반콤보/1,교촌무우/2",맛있게 잘 먹었습니다,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/12a7ece0fe01ab78dad1d718cd2c4f14_tn.jpg
2021년 10월 22일,권선동,교촌치킨-매교점,pj**님,2021년 10월 22일,"교촌허니콤보/1,교촌반반콤보/1",맛있게 잘먹었습니다,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 10월 21일,권선동,교촌치킨-매교점,rr**님,2021년 10월 21일,"교촌레허반반순살/1,교촌웨지감자/1",죤맛이에요 레알루 3번째시켜먹네요,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/a70877152617a5e5c0c94d548c89e6b8_tn.jpg
2021년 10월 21일,권선동,교촌치킨-매교점,ko**님,2021년 10월 21일,교촌레허반반순살/1,맛있었습니다!! 콜라 500ml 감사히 잘받았습니다,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/c397da3443880d961a849cd4071a2eee_tn.jpg
2021년 10월 20일,권선동,교촌치킨-매교점,ah**님,2021년 10월 20일,교촌허니콤보/1(사이드 메뉴(쫀드칸꽈배기（시나몬슈가）)),배달도 움청빠르고 맛있었어요,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/7c175d72ecbd76b997e03027c3ea0e1b_tn.jpg
2021년 10월 17일,권선동,교촌치킨-매교점,lo**님,2021년 10월 17일,교촌허니순살[R]/1,폭신폭신 달달  맛나게 먹었당께용^^담에 또  ㅎㅎ,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/ad06b7a41da7dd60cc550fc20f5f2295_tn.jpg
2021년 10월 16일,권선동,교촌치킨-매교점,to**님,2021년 10월 16일,교촌허니콤보/1(사이드 메뉴(선택안함)),너무 맛있어요 매번 이것만 시켜먹어요,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/e9b5193f980f70205691a7074cdcac27_tn.jpg
2021년 10월 14일,권선동,교촌치킨-매교점,s0**님,2021년 10월 14일,"교촌레드오리지날/1,교촌허니오리지날/1",이번에도 맛있게 잘먹었습니다,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 10월 14일,권선동,교촌치킨-매교점,hy**님,2021년 10월 14일,"교촌리얼후라이드/1(디핑소스 추가(레드디핑소스)),교촌레드윙/1",언제먹어도 맛있어요~,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/628cdf2b6a57d8cae1cd38230df1eec9_tn.jpg
2021년 10월 13일,권선동,교촌치킨-매교점,iw**님,2021년 10월 13일,교촌허니콤보/1(사이드 메뉴(선택안함)),맛있게 잘먹었습니다!! 양은 전보다는 쪼금 줄어든거 같긴합니다ㅠㅠ,5,4,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 10월 12일,권선동,교촌치킨-매교점,le**님,2021년 10월 12일,교촌허니콤보/1,이벤트 참여로 받은 콜라 맛있어요 치킨 따뜻했어요,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/4cfde61626b8cddc311436fbac00af92_tn.jpg
2021년 10월 11일,권선동,교촌치킨-매교점,a8**님,2021년 10월 11일,교촌윙/1,매번 치킨은 교촌.ㅋ 너무 맛있어요.,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/e3bb33bf8ba250696184afcd110edc76_tn.jpg
2021년 10월 10일,권선동,교촌치킨-매교점,ka**님,2021년 10월 10일,교촌콤보/1(사이드 메뉴(선택안함)),소스가 이번엔 좀 덜 발라져 왔어요...다리는 괜찮은데 윙봉이 특히 ㅜㅜ,4,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/805f5cb77c0a1e6c96e4fcff4e5fd90a_tn.jpg
2021년 10월 8일,권선동,교촌치킨-매교점,ky**님,2021년 10월 8일,교촌반반오리지날/1,교촌은 맨날 여기서 계속 시켜먹엇는데….오늘 왜이러죠…눅눅하고 전혀 바삭함이 없구요…간장 진하게 해달랏는데아예 오히려 더 싱거워서 그냥 후라이드같네요 ㅡㅡ 실망입니다..,2,4,4,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 10월 7일,권선동,교촌치킨-매교점,hs**님,2021년 10월 7일,교촌허니콤보/1(사이드 메뉴(선택안함)),교촌 간만에 먹는데 너무 맛있게 먹었어요 감사합니다,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 10월 5일,권선동,교촌치킨-매교점,s0**님,2021년 10월 5일,교촌레드오리지날/1,이번에도 맛있게 잘 먹었어요.,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 10월 5일,권선동,교촌치킨-매교점,ss**님,2021년 10월 5일,교촌레드콤보/1,레드콤보가 제일 맛있어요 배달도 빠르고 만족합니다,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/aed359e1e6c53f2dea950bee53a86980_tn.jpg
2021년 10월 4일,권선동,교촌치킨-매교점,mo**님,2021년 10월 4일,교촌반반윙/1,앗있네요. 똥주문할께요.,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 10월 4일,권선동,교촌치킨-매교점,lo**님,2021년 10월 4일,교촌반반윙/1(사이드 메뉴(교촌칠리포테이토)),맛잇어요.........,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/5ae1cafa31f21417fd2a025d8ff787fd_tn.jpg
2021년 10월 4일,권선동,교촌치킨-매교점,ia**님,2021년 10월 4일,교촌레드윙/1,맛있어요 맛나게 막 먹다가  마지막에 사진 찍었네요,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/fba13c2327fd1d3dff53035cc24747e7_tn.jpg
2021년 10월 4일,권선동,교촌치킨-매교점,sh**님,2021년 10월 4일,교촌반반순살[R]/1,저는 오리지날이 좋긴한데 아들이 발라먹길 귀찮아해서 순살을 시켰어요 편하고 맛있네요,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/94b54516f86dd40f7cba1e3c2d2cddb9_tn.jpg
2021년 10월 2일,권선동,교촌치킨-매교점,ss**님,2021년 10월 2일,"교촌허니콤보/1,칠리포테이토/1,코카콜라（1.25L）/1",다양한맛이어서골라먹는재미가있네요.,3,4,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 10월 1일,권선동,교촌치킨-매교점,cu**님,2021년 10월 1일,교촌반반순살[R]/1,급히 먹다가 생각나서 찰칵해밧습니다.맛있게 잘먹엇습니다^^,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/2379dbcf653a1461bd7bcc8f1c593332_tn.jpg
2021년 9월 30일,권선동,교촌치킨-매교점,sh**님,2021년 9월 30일,교촌허니콤보/1(사이드 메뉴(선택안함)),허니콤보 양도 많고 넘 맛있어요,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/f9b057cfa8f8fbaf98283077dfa57412_tn.jpg
2021년 9월 30일,권선동,교촌치킨-매교점,xl**님,2021년 9월 30일,"교촌레드윙/1,코카콜라（1.25L）/1",먹어본 교촌중 제일맛나요!!!! 허겁지겁 먹엇어유,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/b7edaf3493ff03dfc95beba32e9f47b5_tn.jpg
2021년 9월 28일,권선동,교촌치킨-매교점,rl**님,2021년 9월 28일,교촌레드윙/1,오랫만에 먹었는데 맛은 같고 양은 많아 젰네요맛있게 잘먹었습니다,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/0f13a3d0f4ffd0315768125a276f30aa_tn.jpg
2021년 9월 27일,권선동,교촌치킨-매교점,wo**님,2021년 9월 27일,교촌허니콤보/1,역시 맛있는 허니콤보 맛있어 허니....60대 엄마아빠도 맛있게 드시는 허니콤보생일 기념으로 먹었는데 짱짱!,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/48f0edfe85408a9c663e346aa4a49316_tn.jpg
2021년 9월 27일,권선동,교촌치킨-매교점,si**님,2021년 9월 27일,교촌허니순살[R]/1,맛있게 잘먹었어요 배송도 빨라요,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 9월 27일,권선동,교촌치킨-매교점,dp**님,2021년 9월 27일,교촌반반오리지날/1,교촌은 진리입니다 배달도 빨라요,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/861384f593b375b5f3a489088fe6ed56_tn.jpg
2021년 9월 26일,권선동,교촌치킨-매교점,mu**님,2021년 9월 26일,"교촌허니오리지날/1,생맥주（1000cc）/1",맛나게 잘 먹었습니다.,3,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/2c32bf33400775379a608e8ac7b40766_tn.jpg
2021년 9월 26일,권선동,교촌치킨-매교점,ke**님,2021년 9월 26일,"교촌레드스틱S＋교촌허니순살S/1,교촌웨지감자/1",배달시간은 70분걸렸어요.주말이라 많이시켜먹나봐요.늘 맛있어요.배달기사님 친절해서 기분좋아요,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/9cb90a5fbfb7e7d8445daae567cda27e_tn.jpg
2021년 9월 25일,권선동,교촌치킨-매교점,ob**님,2021년 9월 25일,"교촌살살치킨/1,교촌리얼후라이드/1",배달이 좀 늦은거 빼곤 다 대만족입니다,5,5,3,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/1d67bcd94a3d651e09b36c7fd1e29fa3_tn.jpg
2021년 9월 25일,권선동,교촌치킨-매교점,hy**님,2021년 9월 25일,"교촌레드윙/1,교촌허니콤보/1",늘 먹어도 질리지 않는 교촌이예요^^매운소스도 넉넉하게 발라주셔서 너무 만족스럽고  맛있습니다.요청드릴때마다 잊지않고 신경써주셔서 감사합니다~,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/8d27df55764491efaf4bb3d43a0d2f93_tn.jpg
2021년 9월 25일,권선동,교촌치킨-매교점,tw**님,2021년 9월 25일,"교촌콤보/1,교촌레드콤보/1",맛있게 잘먹었습니다.언제나 콤보는 진리네요,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/834b095ac9e3949005b2f0eef914410e_tn.jpg
2021년 9월 24일,권선동,교촌치킨-매교점,dl**님,2021년 9월 24일,교촌레드윙/1,리엇 존맛탱 레드콤보가 진리죠,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/2f5ded7838f7c2d993255bfc03bd4a88_tn.jpg
2021년 9월 23일,권선동,교촌치킨-매교점,vi**님,2021년 9월 23일,교촌레드콤보/1,맛잇어요~👍 역시 교촌,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 9월 21일,권선동,교촌치킨-매교점,wo**님,2021년 9월 21일,교촌허니콤보/1,맛있어요 ^^ 멀지만 여기서만 시켜요,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 9월 21일,권선동,교촌치킨-매교점,il**님,2021년 9월 21일,교촌콤보/1,"역시 교촌, 믿고먹는 맛~",5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/d2fb895ba5cea56b576ae200f659d541_tn.jpg
